text,language,label,label_source,seed_id,batch
"Баға адал, уақытында бітірді. Персонал вежливый, объяснили каждый шаг. Ждали примерно 19 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Повар молодец, подача красивая и горячая. Тамақ өте дәмді еді, қайта келеміз міндетті түрде. Счёт вышел около 1174 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Орналасуы ыңғайлы, іші таза. Всё по делу, без лишней суеты. Заказ оформили около 36 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кухня реально вкусная, советую попробовать бешбармақ. Қызметкерлер мейірімді, атмосфера ыңғайлы екен. Отбасымен келдік, бәрі қуанышты кеттік. Камила молодец, рахмет көп. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Қызметкерлер мейірімді, атмосфера ыңғайлы екен. Интерьер уютный, готовят быстро и аккуратно. Тамақ өте дәмді еді, қайта келеміз міндетті түрде. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Еда просто огонь, манты лучший в городе. Бағасы да қолжетімді, көлемі де жеткілікті болды. Арман молодец, рахмет көп. Семей қаласынан келдік бүгін.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Барлығы ретті, артық шу жоқ. Атмосфера приятная, возвращусь ещё раз. Персонал отзывчивый, помогли до конца. Шамамен 61 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Қызметкерлер көмектеседі, соңына дейін шықты. Всё по делу, без лишней суеты. Данияр молодец, рахмет көп. Баға 1996 теңге шамасында болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Тазалық жақсы, орындар ыңғайлы екен бізге. Повар молодец, подача красивая и горячая. Порции щедрые, десерт свежий и вкусный. Тапсырыс 20 минутта дайын болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Администратор помог с выбором, спасибо большое. Баға адал, уақытында бітірді. Уақытында қабылдады, сапасы байқалады. Рекомендую знакомым.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Еда просто огонь, лагман лучший в городе. Тамақ өте дәмді еді, қайта келеміз міндетті түрде. В Петропавл заходили в субботу.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Персонал вежливый, объяснили каждый шаг. Кезек жоқ еді, нәтиже керемет шықты. Серік молодец, рахмет көп. Ждали примерно 48 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кезек жоқ еді, нәтиже керемет шықты. Цена честная, работа выполнена в срок. Счёт вышел около 2818 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Тазалық жақсы, орындар ыңғайлы екен бізге. Ас дайындалуы жылдам, ыстық ыстығымен келді. Интерьер уютный, готовят быстро и аккуратно. Гүлнұр молодец, рахмет көп. Тапсырыс 62 минутта дайын болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Ас дайындалуы жылдам, ыстық ыстығымен келді. Обслуживание на высоте, официант вежливый. Тағы да келеміз деп шештік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Обслуживание на высоте, официант вежливый. Ас дайындалуы жылдам, ыстық ыстығымен келді. Бағасы да қолжетімді, көлемі де жеткілікті болды. Айдос молодец, рахмет көп. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кухня реально вкусная, советую попробовать борщ. Дәмі күшті, ұсынып кетемін достарыма да. Обслуживание на высоте, официант вежливый. Жанерке молодец, рахмет көп. Шымкент қаласынан келдік бүгін.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Қызметкерлер сыпайы, барлығын түсіндірді. Всё чисто, инструменты стерильные. Цена честная, работа выполнена в срок. Жанерке молодец, рахмет көп. Шамамен 35 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Ұйымдастыру жақсы, таң қалдырды. Работают честно, без скрытых доплат. Счёт вышел около 3640 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Персонал отзывчивый, помогли до конца. Барлығы ретті, артық шу жоқ. Заказ оформили около 52 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Сервис жоғары деуге болады, ұсынамын. Цена честная, работа выполнена в срок. Администратор помог с выбором, спасибо большое. Нұрсұлтан молодец, рахмет көп. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кухня реально вкусная, советую попробовать стейк. Тазалық жақсы, орындар ыңғайлы екен бізге. В Өскемен заходили в четверг.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Повар молодец, подача красивая и горячая. Отбасымен келдік, бәрі қуанышты кеттік. Порции щедрые, напиток свежий и вкусный. Шамамен 22 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Дәмі күшті, ұсынып кетемін достарыма да. Обслуживание на высоте, официант вежливый. Ас дайындалуы жылдам, ыстық ыстығымен келді. Баға 4462 теңге шамасында болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Ас дайындалуы жылдам, ыстық ыстығымен келді. Цены адекватные, качество стабильное каждый раз. Тапсырыс 36 минутта дайын болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Интерьер уютный, готовят быстро и аккуратно. Тазалық жақсы, орындар ыңғайлы екен бізге. Тағы да келеміз деп шештік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Работают честно, без скрытых доплат. Қалыпты сервиске бағалайтындарға ұсынамын. Атмосфера жақсы, тағы да келеміз. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Администратор помог с выбором, спасибо большое. Шебер жұмысын тез әрі сапалы істеді. Ждали примерно 64 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Работают честно, без скрытых доплат. Орналасуы ыңғайлы, іші таза. Счёт вышел около 5284 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Интерьер уютный, готовят быстро и аккуратно. Отбасымен келдік, бәрі қуанышты кеттік. Заказ оформили около 26 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Интерьер уютный, готовят быстро и аккуратно. Цены адекватные, качество стабильное каждый раз. Тамақ өте дәмді еді, қайта келеміз міндетті түрде. Бекзат молодец, рахмет көп. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Цена честная, работа выполнена в срок. Кезек жоқ еді, нәтиже керемет шықты. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Еда просто огонь, пицца лучший в городе. Тамақ өте дәмді еді, қайта келеміз міндетті түрде. Ақтөбе қаласынан келдік бүгін.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кезек жоқ еді, нәтиже керемет шықты. Всё чисто, инструменты стерильные. Балнұр молодец, рахмет көп. Шамамен 51 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Интерьер уютный, готовят быстро и аккуратно. Дәмі күшті, ұсынып кетемін достарыма да. Баға 6106 теңге шамасында болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кухня реально вкусная, советую попробовать палау. Ас дайындалуы жылдам, ыстық ыстығымен келді. Зашли с друзьями, всем понравилось без исключения. Марат молодец, рахмет көп. Тапсырыс 65 минутта дайын болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Повар молодец, подача красивая и горячая. Тазалық жақсы, орындар ыңғайлы екен бізге. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Дәмі күшті, ұсынып кетемін достарыма да. Отбасымен келдік, бәрі қуанышты кеттік. Цены адекватные, качество стабильное каждый раз. В Атырау заходили в понедельник.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кезек жоқ еді, нәтиже керемет шықты. Всё чисто, инструменты стерильные. Сервис на уровне, рекомендую знакомым. Жанерке молодец, рахмет көп. Ждали примерно 38 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Обслуживание на высоте, официант вежливый. Тазалық жақсы, орындар ыңғайлы екен бізге. Счёт вышел около 6928 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Интерьер уютный, готовят быстро и аккуратно. Асханада иіс жоқ, тамақ сапасы жоғары деуге болады. Тазалық жақсы, орындар ыңғайлы екен бізге. Мадина молодец, рахмет көп. Тағы да келеміз деп шештік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Уақытында қабылдады, сапасы байқалады. Мастер всё сделал быстро и аккуратно. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Бағасы да қолжетімді, көлемі де жеткілікті болды. Порции щедрые, хлеб свежий и вкусный. Цены адекватные, качество стабильное каждый раз. Алматы қаласынан келдік бүгін.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Сервис на уровне, рекомендую знакомым. Записали без ожидания, результат отличный. Уақытында қабылдады, сапасы байқалады. Мадина молодец, рахмет көп. Шамамен 25 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Дәмі күшті, ұсынып кетемін достарыма да. Порции щедрые, напиток свежий и вкусный. Бекзат молодец, рахмет көп. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Интерьер уютный, готовят быстро и аккуратно. Бағасы да қолжетімді, көлемі де жеткілікті болды. Алтынай молодец, рахмет көп. Рекомендую знакомым.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Уақытында қабылдады, сапасы байқалады. Всё чисто, инструменты стерильные. Шебер жұмысын тез әрі сапалы істеді. Камила молодец, рахмет көп. В Семей заходили в субботу.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Всё по делу, без лишней суеты. Қызметкерлер көмектеседі, соңына дейін шықты. Шамамен 12 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Уақытында қабылдады, сапасы байқалады. Записали без ожидания, результат отличный. Баға 8572 теңге шамасында болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Порции щедрые, гарнир свежий и вкусный. Отбасымен келдік, бәрі қуанышты кеттік. Тағы да келеміз деп шештік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Ас дайындалуы жылдам, ыстық ыстығымен келді. Тамақ өте дәмді еді, қайта келеміз міндетті түрде. Порции щедрые, суп свежий и вкусный. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Уақытында қабылдады, сапасы байқалады. Цена честная, работа выполнена в срок. В Петропавл заходили в пятницу.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Бағасы да қолжетімді, көлемі де жеткілікті болды. Асханада иіс жоқ, тамақ сапасы жоғары деуге болады. Кухня реально вкусная, советую попробовать манты. Ждали примерно 54 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Сервис жоғары деуге болады, ұсынамын. Цена честная, работа выполнена в срок. Счёт вышел около 9394 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Сервис на уровне, рекомендую знакомым. Қызметкерлер сыпайы, барлығын түсіндірді. Жанерке молодец, рахмет көп. Заказ оформили около 16 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Қалыпты сервиске бағалайтындарға ұсынамын. Рекомендую всем, кто ценит нормальный сервис. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Отбасымен келдік, бәрі қуанышты кеттік. Обслуживание на высоте, официант вежливый. Бағасы да қолжетімді, көлемі де жеткілікті болды. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Всё чисто, инструменты стерильные. Сервис жоғары деуге болады, ұсынамын. Шымкент қаласынан келдік бүгін.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Порции щедрые, салат свежий и вкусный. Интерьер уютный, готовят быстро и аккуратно. Отбасымен келдік, бәрі қуанышты кеттік. Арман молодец, рахмет көп. Шамамен 41 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Рекомендую всем, кто ценит нормальный сервис. Атмосфера приятная, возвращусь ещё раз. Қалыпты сервиске бағалайтындарға ұсынамын. Данияр молодец, рахмет көп. Баға 1716 теңге шамасында болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Всё по делу, без лишней суеты. Орналасуы ыңғайлы, іші таза. Гүлнұр молодец, рахмет көп. Тапсырыс 55 минутта дайын болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Қызметкерлер көмектеседі, соңына дейін шықты. Рекомендую всем, кто ценит нормальный сервис. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Организация на уровне, приятно удивили. Удобное расположение, внутри чисто. Қалыпты сервиске бағалайтындарға ұсынамын. В Өскемен заходили в среду.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Әкімші көмектесті, рахмет көп. Қызметкерлер сыпайы, барлығын түсіндірді. Администратор помог с выбором, спасибо большое. Ждали примерно 28 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Администратор помог с выбором, спасибо большое. Баға адал, уақытында бітірді. Приняли вовремя, качество видно сразу. Балнұр молодец, рахмет көп. Счёт вышел около 2538 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Цены адекватные, качество стабильное каждый раз. Ас дайындалуы жылдам, ыстық ыстығымен келді. Қызметкерлер мейірімді, атмосфера ыңғайлы екен. Тапсырыс 42 минутта дайын болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кезек тез жүрді, уақытты үнемдедік. Работают честно, без скрытых доплат. Гүлнұр молодец, рахмет көп. Тағы да келеміз деп шештік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Рекомендую всем, кто ценит нормальный сервис. Организация на уровне, приятно удивили. Адал жұмыс істейді, қосымша төлем жоқ. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Отбасымен келдік, бәрі қуанышты кеттік. Обслуживание на высоте, официант вежливый. Түркістан қаласынан келдік бүгін.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Таза, құралдар стерильді екен. Баға адал, уақытында бітірді. Приняли вовремя, качество видно сразу. Алтынай молодец, рахмет көп. Счёт вышел около 3360 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Отбасымен келдік, бәрі қуанышты кеттік. Дәмі күшті, ұсынып кетемін достарыма да. Повар молодец, подача красивая и горячая. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Адал жұмыс істейді, қосымша төлем жоқ. Организация на уровне, приятно удивили. Атмосфера приятная, возвращусь ещё раз. Рекомендую знакомым.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Цены адекватные, качество стабильное каждый раз. Ас дайындалуы жылдам, ыстық ыстығымен келді. Бекзат молодец, рахмет көп. В Ақтөбе заходили в понедельник.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Таза, құралдар стерильді екен. Мастер всё сделал быстро и аккуратно. Жанерке молодец, рахмет көп. Шамамен 57 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Порции щедрые, салат свежий и вкусный. Отбасымен келдік, бәрі қуанышты кеттік. Зашли с друзьями, всем понравилось без исключения. Тапсырыс 16 минутта дайын болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Кезек тез жүрді, уақытты үнемдедік. Удобное расположение, внутри чисто. Тағы да келеміз деп шештік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Сервис на уровне, рекомендую знакомым. Приняли вовремя, качество видно сразу. Баға адал, уақытында бітірді. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Дәмі күшті, ұсынып кетемін достарыма да. Еда просто огонь, суши лучший в городе. Асхат молодец, рахмет көп. В Атырау заходили в воскресенье.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Работают честно, без скрытых доплат. Адал жұмыс істейді, қосымша төлем жоқ. Счёт вышел около 5004 тенге.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Сервис на уровне, рекомендую знакомым. Уақытында қабылдады, сапасы байқалады. Заказ оформили около 61 минут.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Асханада иіс жоқ, тамақ сапасы жоғары деуге болады. Обслуживание на высоте, официант вежливый. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Қызметкерлер мейірімді, атмосфера ыңғайлы екен. Кухня реально вкусная, советую попробовать роллы. Цены адекватные, качество стабильное каждый раз. Ұнады, рахмет көп.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Интерьер уютный, готовят быстро и аккуратно. Қызметкерлер мейірімді, атмосфера ыңғайлы екен. Тамақ өте дәмді еді, қайта келеміз міндетті түрде. Айгерім молодец, рахмет көп. Алматы қаласынан келдік бүгін.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Таза, құралдар стерильді екен. Администратор помог с выбором, спасибо большое. Шамамен 31 минут күттік.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Еда просто огонь, борщ лучший в городе. Дәмі күшті, ұсынып кетемін достарыма да. Баға 5826 теңге шамасында болды.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
"Цены адекватные, качество стабильное каждый раз. Ас дайындалуы жылдам, ыстық ыстығымен келді. Вернусь сюда ещё раз точно.",mixed,positive,synthetic,clear_mixed_v2,batch_01_clear_mixed
