text,language,label,lingua_label,confidence,needs_review,filter_note,llm_language,label_source,_has_kz,_has_ru_cyr
"Техника батпай жатса, қиын екен. Тезірек өшірсе ғой ",kz,,mixed,1.0,False,,kz,manual,True,True
"мм, ертеңгі ауа райы қиын болайын деп тұр екен, сақ болу керек",kz,,mixed,1.0,False,,kz,manual,True,True
"е технология дамып жатыр, ыңғайлы шешім сияқты",kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы, что у нас теперь есть крематорий, будет альтернатива традиционным похоронам в Алматы",mixed,,mixed,1.0,False,,kz,manual,True,True
"Грозы, град, шквал... Көктем келсе де, ауа райы бізді сынап жатыр ",mixed,,mixed,1.0,False,,kz,manual,True,True
жақсы бастама екен энергетику дамыту маңызды ,kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы бастама, Шымкентте демалу да керемет идея екен! ",kz,,mixed,1.0,False,,kz,manual,True,True
"Пока нефть дорожает, бензин у нас тоже подскочит, мұнайдың бағасы көтерілсе.",mixed,,mixed,1.0,False,,kz,manual,True,True
"мм, жиналып дұрыс шешім қабылдайды деп сенемін",kz,,mixed,1.0,False,,kz,manual,True,True
"мм, қызық жағдай, АҚШ бюджетін жақсы жарататын сияқты",kz,,mixed,1.0,False,,kz,manual,True,True
тегін қойыңдар сонда ешқандай эвакуация болмайды ,kz,,mixed,1.0,False,,kz,manual,True,True
"пайдаланушылар саны 1 млн асыпты, жақсы көрсеткіш екен",kz,,mixed,1.0,False,,kz,manual,True,True
"Хорошо, что следим за безопасностью, радиация — дело серьёзное, балаларымыз үшін тыныш болу керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Жақсы стратегия, студенттер көптеп келсе экономикамызға пайда текелей келеді",kz,,mixed,1.0,False,,kz,manual,True,True
Дурыс барлығын тексерсе Чси ды.,kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы, подготовимся тогда к такой погоде ",mixed,,mixed,1.0,False,,kz,manual,True,True
"Сам кінәлі, заң бәріне бірдей.",kz,,mixed,1.0,False,,kz,manual,True,True
"Жол жақсы болса, аймаққа пайдасы зор болады. Самый раз, күтеміз!",mixed,,mixed,1.0,False,,kz,manual,True,True
"мм, сақ болайық е бәріміз, ауа райы құбылып тұр ғой",kz,,mixed,1.0,False,,kz,manual,True,True
"А ведь ақырын ақырын дамытып барамыз,  ия?",mixed,,mixed,1.0,False,,kz,manual,True,True
Цифровизация жақсы қадам сияқты. Халықаралық байланысымыз арта түседі.,kz,,mixed,1.0,False,,kz,manual,True,True
"VIP гоншиктерге керек дүние, 30 жыл рөлдемін, домкрат , запаска, тросс дәрет алатын су болса болды.",kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы жаңалық, осы бағытта даму керек. Умный город деген жақсы ғой, өмірімізді жеңілдетеді. Технологияға инвестиция салып, болашаққа дайындық жасау дұрыс бағыт.",mixed,,mixed,1.0,False,,kz,manual,True,True
"Күтейік, анықталатын сияқты. Процесс жүріп жатыр ғо, асықпаңдар.",kz,,mixed,1.0,False,,kz,manual,True,True
"Сабыр, процесс жүріп жатыр ғо. Экономика қалпына келіп, тұрақты өсу байқалады. Енді осы қарқынмен үздіксіз даму керек.",kz,,mixed,1.0,False,,kz,manual,True,True
Ата анасына шын жүректен көңіл айтамын. Алдын ала қорытынды жасамайық. Құзырлы органдармен сот шешімін күту дұрыс болар.,kz,,mixed,1.0,False,,kz,manual,True,True
"Марқұмның туған-туыстары мен жақындарына шын жүректен көңіл айта мын. Қазір ашық тергеу жүргізіліп жатыр, нақты себептері әзірге белгісіз. Асығыс қорытынды жасамай, тексеру нәтижесі мен сот шешімін күту керек деп ойлаймын.",kz,,mixed,1.0,False,,kz,manual,True,True
"Күтіп көрейік, полиция процесс жүргізіп жатқан сияқты. Барлық күдікті тексеріліп жатқан шығар.",kz,,mixed,1.0,False,,kz,manual,True,True
КЕРЕМЕТ Алға Рыбакина Алға Қазақстан Республикасы в полуфинале обырыграла тенисистку из росии,mixed,,mixed,1.0,False,,kz,manual,True,True
"Елена кутты болсың, Алға Қазахстаң! Заслуженная победа, скромная воспитанная красавица!",mixed,,mixed,1.0,False,,kz,manual,True,True
"Елена Алға! Молодец , құтты болсың!!!",mixed,,mixed,1.0,False,,kz,manual,True,True
