text,rating,language
"Хороший телефон, любовница рада.",5,kaz
"Смартфон идеален, покупал в подарок любимой жена, она в восторге.",5,ru
"Очень быстро садиться батарейка, не советую.",1,ru
"Аппарат то, что надо. А всё что о нём говорят отрицательное - это лишь хейт. Айфон всегда превосходил и превосходит другие модели телефонов, и может приходится переплачивать за марку, но оно того стоит.",5,mixed
"Круто, уже пользуюсь 3 день, полет нормальный. Стал легче, тактильно приятный, камера подтянулась, автономность удовлетворяет, экран яркий и большой. Переходить с 14 про особого смысла нет. Если старее аппарат то однозначно смысл имеется.",5,mixed
"После 11 айфона конечно супер, Каспи , спасибо!",5,ru
"Заказала 2 штуки, а прислали 5 штук. Спасибо магазину!",5,ru
Рахмет өте жақсы заттар. Бәрін жаксылап орап салыпты.,5,kaz
"Спасибо продавцу за качественный товар. Ластик качественный. Всегда такой берём. Очень быстрая доставка. Продавец еще положил подарочек. Приятно, что заботится о своих клиентах.",5,ru
Очень быстро и качественно.,5,ru
"Суперские резинки за такую цену, я восторге, жалко что ещё не заказала, стирают отлично. Доставка быстро, упаковали хорошо. Магазину 10 баллов!",5,mixed
"Качество отличное, спасибо большое, быстрая доставка, все вовремя.",5,ru
"Все товары пришли в идеальном состоянии, спасибо большое. И подарок положили, очень приятно.",5,ru
За такую цену хорошо.,5,ru
"Бағасы тиімді, уақытылы жеткізіп берді.",5,kaz
"Мне очень понравился, спасибо большое.",5,ru
Ластик емес.,1,kaz
True Tone дүкенінен сауда жасадық. Неге Айдар деген жазуы бар!?maped емес.,3,kaz
"Хороший ластик, детям нравится, легко стирает.",5,mixed
"Жақсы, бағасы супер.",5,kaz
Супер.,5,kaz
Керемет.,5,kaz
"Очень хороший ластик. Быстрая доставка, рекомендую.",5,ru
"Стирает легко, мне понравился ластик.",5,kaz
Уақытынан ерте жеткізіп берді. Сапасы күшті. Алуға кеңес беремін.,5,kaz
Отличный ластик.,5,ru
"Отличные ластики, мягкие, стирают чисто без грязи. Продавец Turone ещё и подарочки положил, спасибо, очень приятно.",5,ru
"Ужасное качество, даже 36 тг не стоит.",1,mixed
"Очень хороший ластик, и дешевле.",5,ru
"Хороший ластик, да ещё в подарок точилку положили.",5,mixed
"Отличный товар, доставили в тот же день, все так как я хотел, спасибо!",5,ru
"45тг алып тұрып, сапасы нашар десем. Сатушы Нурсекен ұрып кетеді шығар. Тема өте жақсы.",5,kaz
"Товар пришел вовремя, большое спасибо продавцу ИП «МЫНЖАНОВ АСКАРБЕК КАНАБЕКОВИЧ» и ответственному курьеру.",5,ru
"Стерки хорошие, берём постоянно, не оставляют грязи в тетради.",5,ru
"Ластик хороший, беру не в первый раз.",5,ru
"Жақсы өшіргіш, мектепке ыңғайлы, арзан, жоғалтып алса да.",5,kaz
Өз бағасына тиімді әрі сапасы жақсы.,5,kaz
"Товаром довольна, магазин хороший, вешалка оказалась очень удобной и стойкой, благодарю!",5,ru
Хороший ластик.,5,kaz
Всё супер.,5,ru
Керемет екен.,5,kaz
"Хорошие стерки, теперь заказываю только их.",5,ru
"Кетіргіш өте жақсы екен, фирмасы керемет.",5,kaz
Хорошее качество. Беру не первый раз. Быстрая доставка.,5,ru
"Отличный ластик, упаковка качественная, пришло все целое.",5,ru
"Отличное качество, спасибо продавцу.",5,ru
"Отличный ластик, который стирает карандаш мягко и без лишних усилий. Не оставляет грязных разводов на бумаге и практически не крошится при использовании.",5,ru
Хороший ластик.,5,kaz
"Ластик удобные, хорошие мне понравилось и доставили быстро спасибо.",5,mixed
"Удобный ластик, хорошее качество. Стирает отлично. Спасибо Каспи Магазину и продавцу.",5,ru
"Хороший, мне понравилось, спасибо большое.",5,ru
Качество лучших не бывает.,5,ru
Ластик как ластик.,5,kaz
"Удобный большой ластик, хорошо стирает карандаш.",5,ru
Сапасы жақсы.,5,kaz
"Отличные ластик, качество супер и цена приятная.",5,ru
"Ластик очень удобен в использовании и хорошо справляется со своей задачей. Он аккуратно стирает карандаш, не оставляя грязных следов и не рвёт бумагу. Имеет мягкую текстуру, благодаря чему стирание происходит легко и без усилий. Компактный размер позволяет удобно.",5,ru
"Отличный ластик. Очень понравился, буду пользоваться.",5,ru
"Супер ластик, стер моего бывшего.",5,kaz
"Хороший ластик, отлично стирает, цена привлекательная.",5,mixed
Класс.,5,kaz
Күшті екен. Рахмет.,5,kaz
Жақсы өткізеді.,5,kaz
Рақмет. Тағы біреуін қосып салып жіберіпті күшті.,5,kaz
"Все супер, спасибо",5,ru
"Рахмет, 2 өшіргіш салып жіберіпті сапасы күшті.",5,kaz
"Отличный ластик! Стирает чисто и аккуратно, не размазывает карандаш и не оставляет тёмных следов на бумаге.",5,ru
Отличный ластик. Покупаю не первый раз. Цена радует. Рекомендую.,5,ru
"Осы өшіргіштер қатты ұнайды, сатушыға рахмет, уақытынан ерте келді.",5,kaz
"Классная стирашка/ластик, продавец заранее написал и сделал комфортную доставку, спасибо.",5,ru
Всё понравилось. Рекомендую к покупке.,5,ru
Күшті екен.,5,kaz
"Ластик стирает отменно. Были сомнения по качеству из-за цены, однако они не подтвердились. Ластик не крошится и удобен в применении.",5,ru
Супер.,5,kaz
ЭКОНОМ СТРОЙ спасибо большое. Ластик очень хорошего качества. Рекомендую. Покупкой довольна.,5,ru
"Очень классно стирает, пришёл вовремя, даже раньше, спасибо магазину и Каспи.",5,ru
"Товар просто шикарного качества. После его приобретения моя жизнь улучшилась: мне подняли зарплату на работе, и я встретил классную девушку. Я даже боюсь представить, что будет дальше. Огромное спасибо магазину!",5,ru
Цена супер.,5,ru
"Әдемі өшіргіш, сапасы ұнады, уақытында келді.",5,kaz
"Все отлично, спасибо!",5,ru
Понравилась моей сестренке.,5,kaz
"Супер ластик, спасибо за доставку.",5,ru
Классные.,5,kaz
"Спасибо, хороший ластик!",5,ru
"Сторка отличная. Хорошо стирает. Спасибо большое, выручили!",5,ru
"Купили дочке по рекомендации знакомых, быстро доставили, довольны покупкой.",5,ru
Ұнады.,5,kaz
"Стерка из детства. Не сильно жёсткая, синяя сторона блестит. Дешёвая, не воняет, со своей задачей справляется. Упаковали тоже хорошо, такую маленькую в большой пакет положили. Спасибо большое магазину Patriot-kz, быстрой доставке и китайцам-производителям.",5,ru
Отличный ластик.,5,ru
"Хорошая резинка, качественно стирает.",5,kaz
"Хороший ластик, отлично справляется со своей задачей. Всегда покупаем ластики именно этой фирмы.",5,mixed
Хороший ластик.,5,kaz
"Хорошее, мне очень понравилось, хорошо стирает.",5,ru
"Хорошие ластики, беру не первый раз. Спасибо Каспи!",5,ru
"Очень качественный ластик, спасибо магазину PATRIOT-KZ.",5,ru
Сапасы жақсы.,5,kaz
"Хороший ластик, стирает отлично! Цена.",5,kaz
Очень хороший ластик.,5,ru
Сапасы өте керемет. Рахмет. Керемет болып келді.,5,kaz
Хороший ластик.,5,kaz
Күшті сапасы жоғары екен. Алыңыздар.,5,kaz
За такую цену просто находка.,5,mixed
"Отличный, по хорошей цене.",5,ru
10тенгеге көп алар едім в наличии болмай калды керемет оширгиш багасы оте арзан советую.,5,kaz
Бұзылмай әдемі келді.,5,kaz
"Спасибо за быструю доставку. А сам ластик хороший, всегда берём. Maped&quot;.",5,mixed
"Мапед хорошая фирма, а тут и цена отличная.",5,mixed
Хороший ластик.,5,kaz
"Отличный ластик, цена -сказка! Синяя часть хорошо стирает цветные карандаши.",5,ru
"Стерка топ, стирает даже ручку без проблем.",5,ru
"Жақсы өшіреді. Өз уақытында келді, маған ұнады.",5,kaz
"Ластик очень удобный, взял для рисования, заказываю не первый раз.",5,ru
"Ластик очень хороший, стирает нормально, советую покупать.",5,ru
"Качественный, хорошо упакованный ластик. Спасибо большое Каспи за быструю доставку и Almaty tools буду заказывать ещё.",5,ru
"Тауар арзан, тез келді.",5,kaz
"Отличный ластик, прикольно за такую цену.",5,ru
Сапасы жақсы.,5,kaz
