text,rating,city,category,place_id,place_name,review_id,date_created,source,language
"Бугын бардық шайхана керемет екен. Обстановка, обслуживаниесі ұнады. Біздің официант бала өз жумысының жақсы білетін жігіт екен. Есімі Абархан, келсеңіздер сол жігітті сураңыз ",5,astana,шаурма,70000001113725685,,248066691,2026-06-06T18:58:38.083037+07:00,2gis,mixed
"Благодарим Абархана за отличное обслуживание, очень приятный, гостеприимный сотрудник! 
Все было очень вкусно, брали пасту, фрикасе, бауырсаки, лимонад, сырне.
Приятный интерьер, все чисто, уютно, прохладно.
Обязательно приедем ещё!",5,astana,шаурма,70000001113725685,,247804741,2026-06-05T17:44:06.942855+07:00,2gis,mixed
"официант Аружан тигр,кухнясы өте дәмді 10/10",5,astana,шаурма,70000001113725685,,247294402,2026-06-03T17:29:47.716475+07:00,2gis,mixed
Абархан официант Алла разы болсын ),5,astana,шаурма,70000001113725685,,246458944,2026-05-31T17:59:33.497655+07:00,2gis,mixed
Абархан официантка рахмет авторски десерттар унады тамактары унады 10)10,5,astana,шаурма,70000001113725685,,246246655,2026-05-30T22:16:47.206739+07:00,2gis,mixed
Бәрі үнат әдемі зің проста,5,astana,шаурма,70000001113725685,,246199468,2026-05-30T19:31:25.662492+07:00,2gis,mixed
Өте керемет ресторан. Сак фирменный тагамы нагыз ер азаматтын асы! Интерьери демалып каласыз! Багалары оте тиимди,5,astana,шаурма,70000001113725685,,245935755,2026-05-29T21:10:58.501506+07:00,2gis,mixed
"оформление және сервис , тамақтарыда дәмді екен маған ұнады",5,astana,шаурма,70000001113725685,,245851499,2026-05-29T15:54:36.743657+07:00,2gis,mixed
"Классное заведение  рахмет официантам все через раз подходили спрашивали все у нас хорошо, жарайсыздар , осы кадрыларыныздан тайманыздар",5,astana,шаурма,70000001113725685,,244322231,2026-05-23T03:16:27.700432+07:00,2gis,mixed
"Бүгін бардық,тамақтары да,іші де,обслуживаниесіде бәрі зооррр и очень уютно и оффицантка Қарақат деген қызға рахмеетт,күліп жүріп бәрін істеді. Өз басым қатты ұнаттым. Енді жиі барып тұрам. Сіздерге рахмеетт",5,astana,шаурма,70000001113725685,,244312871,2026-05-23T01:39:46.271835+07:00,2gis,mixed
"очень классная чайхана кухня вкусная, все чисто, уютно и атмосфера приятная. отдельно хочется поблагодарить официантку Қарақат— очень общительная, вежливая, с хорошими манерами и просто милая девушка обслуживание было на высшем уровне, обязательно еще придем!",5,astana,шаурма,70000001113725685,,244307369,2026-05-23T00:59:14.229724+07:00,2gis,mixed
"Тағамдары дәмді, Абархан даяшыға улкен рахмет! Быстрое, вежливое обслуживание! ",5,astana,шаурма,70000001113725685,,244301009,2026-05-23T00:16:49.52841+07:00,2gis,mixed
"кухня күштііі, и цены приемлемые  тағы да келеміз! кассадағы Айкен приятная, с собой заказ алғанбыз, клиентоориентированность ",5,astana,шаурма,70000001113725685,,244263837,2026-05-22T21:06:57.728684+07:00,2gis,mixed
Абархан деген жігіт өтте қатты ұнады барлығы жоғары сапада өтті ,5,astana,шаурма,70000001113725685,,244094180,2026-05-22T01:21:00.117574+07:00,2gis,mixed
Абаархан өте керемет қызметші.доволые мы рвхмет,5,astana,шаурма,70000001113725685,,244081644,2026-05-21T23:55:58.452312+07:00,2gis,mixed
Абархан офицантка рахмет жаксы кызмет көрсетті шашлычный микс дамди екен рахмет,5,astana,шаурма,70000001113725685,,244073516,2026-05-21T23:07:43.175609+07:00,2gis,mixed
"Оте керемет! Тағамдары өте дамди! Кассир Диана кыз молодец барине комектесип жылы карсы алып жылы шыгарып салды! 
Удачи вам",5,astana,шаурма,70000001039956256,,248536933,2026-06-08T20:07:59.325909+07:00,2gis,mixed
"Игровойы кішкентай, тамақтары дәмді ",5,astana,шаурма,70000001039956256,,240195692,2026-05-04T00:01:18.135104+07:00,2gis,mixed
Офицант кыз очень вежлый работаеть свой работу очень хорошо знаеть,5,astana,шаурма,70000001039956256,,239694458,2026-05-01T18:26:03.169237+07:00,2gis,mixed
Все было вкусно Рахмет админу Жание,5,astana,шаурма,70000001039956256,,238403429,2026-04-26T01:24:40.198924+07:00,2gis,mixed
Маған ұнағаны аур кұн нен кин асықпай тамақ ішіп алғаным принццпе әдемі жер қызбен самое то савет берем өкін бейсін дер,5,astana,шаурма,70000001039956256,,234571251,2026-04-08T06:10:14.00327+07:00,2gis,mixed
Аруга зп котериндер чисто лучший сотрудник,5,astana,шаурма,70000001039956256,,221459260,2026-02-23T18:24:43.5506+07:00,2gis,mixed
"өте жаксы обслуживание, консультант Аружан очень хорошо работает, вежливо и грамотно, всем советую эту точку",5,astana,шаурма,70000001039956256,,221457793,2026-02-23T18:18:23.293049+07:00,2gis,mixed
"Тамақтары өте дәмді. Уақытылы дайындап береді. Пицца, Донер постоянно аламын.",5,astana,шаурма,70000001039956256,,221454311,2026-02-23T18:02:48.77941+07:00,2gis,mixed
Из всех SF единственно здесь сырный рамен готовят вкусно побывала и по момыушлы и по кудайбердиулы но здесь все равно лучше готовят сырный рамен,5,astana,шаурма,70000001039956256,,219465308,2026-02-15T14:17:37.88216+07:00,2gis,mixed
Завдение өте суық !!! Заказ ссобой көп күтіп қалдық!!!,4,astana,шаурма,70000001039956256,,217835325,2026-02-08T20:02:21.691712+07:00,2gis,mixed
Гулсенем рақмет обслуживание очень хорошо спасибо тебя,5,astana,шаурма,70000001039956256,,213749273,2026-01-22T15:41:45.859917+07:00,2gis,mixed
Еджеш раннер очень хорошо маладес.,5,astana,шаурма,70000001039956256,,211988426,2026-01-14T01:05:57.582892+07:00,2gis,mixed
өте дәмді екен атмастфера оте жақсы одделно қызбет корсеткен Эджешге улкен рахмет,5,astana,шаурма,70000001039956256,,211984509,2026-01-14T00:36:20.976514+07:00,2gis,mixed
"Круто круто круто круто, шаурма ұнад",5,astana,шаурма,70000001039956256,,208531742,2025-12-26T19:14:40.893956+07:00,2gis,mixed
"Раннер Аминаға тәнті болдым, обслуживание на  Спасибо!",5,astana,шаурма,70000001039956256,,207750370,2025-12-24T20:24:12.38343+07:00,2gis,mixed
"Амина раннер просто ТОП
Күшті қызмет көрсетті",5,astana,шаурма,70000001039956256,,207749040,2025-12-24T20:19:25.331469+07:00,2gis,mixed
"обслуживание жаксы,Айару деген кыз өте мәдениетті сөйлейді. Айаруға алғысым шексіз",5,astana,шаурма,70000001039956256,,207719929,2025-12-24T18:37:17.097869+07:00,2gis,mixed
"Өте күшті, дәмді болды.Раздача Назерке была аккуратной и быстрой. И раннер Аида очень хорошо работала. Все было классно спасибо! ",5,astana,шаурма,70000001039956256,,207616705,2025-12-24T11:52:44.552159+07:00,2gis,mixed
Гулсенем раннер супер Рахмет коп,5,astana,шаурма,70000001039956256,,207392916,2025-12-23T13:52:21.180238+07:00,2gis,mixed
"шашлык, обслуживание бәрі ұнады, Султан деген раннердің жұмысы ұнады",5,astana,шаурма,70000001080671032,,245671697,2026-05-29T01:32:37.33467+07:00,2gis,mixed
Сіздердің филиалдарыңыз ұнады асобено Беибарыс деген жұмысшы ұнады,5,astana,шаурма,70000001080671032,,243418150,2026-05-19T01:16:57.436758+07:00,2gis,mixed
Оте дамди рахмет улкен обслуживание топ,5,astana,шаурма,70000001080671032,,242065902,2026-05-12T21:13:30.255239+07:00,2gis,mixed
Шашлык өте дәмді бәрі жақсы обслуживания просто супер ,5,astana,шаурма,70000001080671032,,242048326,2026-05-12T19:48:18.104172+07:00,2gis,mixed
Обед уакытысында шашылык жедік тойымды екен және комбосы вобше огонь ,5,astana,шаурма,70000001080671032,,236660734,2026-04-17T17:20:10.546961+07:00,2gis,mixed
Раннер кассирларға рахмет номер один шашлычок в астане ,5,astana,шаурма,70000001080671032,,236173134,2026-04-15T19:15:38.741596+07:00,2gis,mixed
Раннер кассирларға рахмет номер один шашлычок в астане,5,astana,шаурма,70000001080671032,,236172376,2026-04-15T19:12:14.881158+07:00,2gis,mixed
Раннер кассирларга рахмет номер один шашлычок в астане,5,astana,шаурма,70000001080671032,,236169369,2026-04-15T18:58:56.034952+07:00,2gis,mixed
Раннер қызмет көрсетушілер бәріне рахмет шашлык сочный ұнады,5,astana,шаурма,70000001080671032,,236165605,2026-04-15T18:41:54.776255+07:00,2gis,mixed
"Шашлычоктің шашлыктары өте дәмді екен, бізге ұнады. Обслуживание вообще на высшем уровне. Абай есімді официантқа ерекше алғыс.",5,astana,шаурма,70000001080671032,,235688137,2026-04-13T01:31:49.687639+07:00,2gis,mixed
100%келуге тұрарлық кафе екен шашлык чай бәрі ұнады осы екінші филиял барып тұрғаным Алдын Ұлы далаға барған едім ол жақта прям супер обслужка бәрі осыдан кейін қалай әдемілеп отзыв жабайысын қызмет көрсеткендерге көп рақмет,5,astana,шаурма,70000001080671032,,234866925,2026-04-09T01:00:25.746641+07:00,2gis,mixed
"Побывали в кафе Шашлычок, отличное обслуживание, отзывчивый персонал, вкусный шашлык, отличные салаты, акции и подарки для гостей. Отдельное спасибо сотрудникам Мөлдір, Айбар, Асель — помогли с выбором, отличное общение. Спасибо за проведенное время",5,astana,шаурма,70000001080671032,,232529760,2026-03-30T00:03:18.705132+07:00,2gis,mixed
"шашлыктары дамды, обслуживание оте керемет, тамактарды тез акелып берды, тагы да келемыз",5,astana,шаурма,70000001080671032,,225284327,2026-02-28T19:22:28.78541+07:00,2gis,mixed
Шашлыктары өте дәмді кереметБарлығыңызға баруға кеңес беремін.Қажымұхан деген раннер жігіт жақсы қарсы алды обслуживание 100% идеально,5,astana,шаурма,70000001080671032,,223710092,2026-02-25T22:41:42.203321+07:00,2gis,mixed
Бәрі өте керемет болды тағамдар пряммм супер оф Ерланға өте көп рахмет өте көңілді болды ,5,astana,шаурма,70000001059993399,,248836287,2026-06-09T23:50:37.511718+07:00,2gis,mixed
Тамақтары дәмді официантка Ерланга рахмет сыпайы. Вообще топ жер екен ұнайды.,5,astana,шаурма,70000001059993399,,248763797,2026-06-09T19:04:59.838622+07:00,2gis,mixed
"Керемет екен официантка Ерлан сыпайы,әрі жақсы қызымет көрсетеді",5,astana,шаурма,70000001059993399,,248745818,2026-06-09T17:55:15.31178+07:00,2gis,mixed
"Обслуживание оте керемет болды! Жаксы демалып кайттым, балдармен барып! Официант Ерлан оте тамаша !! Атмосфера кушти! Тамактары да өте дәмді ",5,astana,шаурма,70000001059993399,,248346288,2026-06-07T23:55:05.946685+07:00,2gis,mixed
Барлыгы унады оте керемет болды балыктары супееер.за обслуживание Аружанга Рахмет,5,astana,шаурма,70000001059993399,,248151096,2026-06-07T01:52:06.630244+07:00,2gis,mixed
