text,language,label,lingua_label
"Да любой пошел бы поработать по специальности, но чтобы устроиться и то по блату опять ағашке надо деньги заплатить это реальность.",ru,,mixed
Мыналарың енді шлии,kaz,,mixed
"Техника батпай жатса, қиын екен. Тезірек өшірсе ғой 🙏",kaz,,mixed
С праздником всех! Пусть татулық всегда будет с нами.,mixed,,mixed
"мм, ертеңгі ауа райы қиын болайын деп тұр екен, сақ болу керек",kaz,,mixed
"е технология дамып жатыр, ыңғайлы шешім сияқты",kaz,,mixed
"Жақсы, что у нас теперь есть крематорий, будет альтернатива традиционным похоронам в Алматы",kaz,,mixed
"Это хорошая новость для бизнеса, кез келген жеңілдік жақсы ғой.",mixed,,mixed
"Грозы, град, шквал... Көктем келсе де, ауа райы бізді сынап жатыр 🌦️",kaz,,mixed
жақсы бастама екен энергетику дамыту маңызды 🤔,kaz,,mixed
"Жақсы бастама, Шымкентте демалу да керемет идея екен! 🌞",kaz,,mixed
"Пока нефть дорожает, бензин у нас тоже подскочит, мұнайдың бағасы көтерілсе.",kaz,,mixed
"мм, жиналып дұрыс шешім қабылдайды деп сенемін",kaz,,mixed
"Вот это правильно, заң бұзуға болмайды, пусть ответит за свои дела",ru,,mixed
"мм, қызық жағдай, АҚШ бюджетін жақсы жарататын сияқты",kaz,,mixed
тегін қойыңдар сонда ешқандай эвакуация болмайды 😅,kaz,,mixed
"пайдаланушылар саны 1 млн асыпты, жақсы көрсеткіш екен",kaz,,mixed
"Быстрее найдут ошибки, быстрее будут исправлять, жақсы ғой",mixed,,mixed
"Хорошо, что следим за безопасностью, радиация — дело серьёзное, балаларымыз үшін тыныш болу керек",kaz,,mixed
"Прямые авиарейсы и устранение двойного налогообложения хорошиғ шаги, которые помогут бизнесу, туризму и росту торговли между странами",mixed,,mixed
"Жақсы стратегия, студенттер көптеп келсе экономикамызға пайда текелей келеді",kaz,,mixed
Дурыс барлығын тексерсе Чси ды.,kaz,,mixed
Закон бәріне бірдей екен.,kaz,,mixed
Штраф бере салың,kaz,,mixed
"Жақсы, подготовимся тогда к такой погоде 🙃",kaz,,mixed
Виктория жараисын құтты болсын!!!,kaz,,mixed
"Сам кінәлі, заң бәріне бірдей.",kaz,,mixed
"Жол жақсы болса, аймаққа пайдасы зор болады. Самый раз, күтеміз!",kaz,,mixed
"мм, сақ болайық е бәріміз, ауа райы құбылып тұр ғой",kaz,,mixed
"А ведь ақырын ақырын дамытып барамыз,  ия?😉👍",kaz,,mixed
Цифровизация жақсы қадам сияқты. Халықаралық байланысымыз арта түседі.,kaz,,mixed
"VIP гоншиктерге керек дүние, 30 жыл рөлдемін, домкрат , запаска, тросс дәрет алатын су болса болды.",kaz,,mixed
"Жақсы жаңалық, осы бағытта даму керек. Умный город деген жақсы ғой, өмірімізді жеңілдетеді. Технологияға инвестиция салып, болашаққа дайындық жасау дұрыс бағыт.",kaz,,mixed
"Күтейік, анықталатын сияқты. Процесс жүріп жатыр ғо, асықпаңдар.",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Экономика қалпына келіп, тұрақты өсу байқалады. Енді осы қарқынмен үздіксіз даму керек.",kaz,,mixed
Ата анасына шын жүректен көңіл айтамын. Алдын ала қорытынды жасамайық. Құзырлы органдармен сот шешімін күту дұрыс болар.,kaz,,mixed
"Марқұмның туған-туыстары мен жақындарына шын жүректен көңіл айта мын. Қазір ашық тергеу жүргізіліп жатыр, нақты себептері әзірге белгісіз. Асығыс қорытынды жасамай, тексеру нәтижесі мен сот шешімін күту керек деп ойлаймын.",kaz,,mixed
"Күтіп көрейік, полиция процесс жүргізіп жатқан сияқты. Барлық күдікті тексеріліп жатқан шығар.",kaz,,mixed
"Қазақтың жер асты байлығын толық әрі кең көлемде барлау арқылы оларды толық өндіру жұмыстарын тездетіп іске асыру- кімге қажет? Қазірше бпр өндіріс орындарын толық игеру әрі оларды модеризациялау арқылы пайдаланса, талай жылдарға жетпей ме? Болашақ ұрпақтарға да керек қой бұл байлықтар? Қ. Сәтбаев бастаған даналардың ісін жалғастыру (үнемдеуді) қазіргі билікке әрі аманат, әрі парыз емес пе?..",kaz,,mixed
Это только начало! Алға!,ru,,mixed
КЕРЕМЕТ ❤️Алға Рыбакина Алға Қазақстан Республикасы в полуфинале обырыграла тенисистку из росии,kaz,,mixed
Елена молодец құтты болсын,kaz,,mixed
"Лена - құтты болсын ,с Победой ! Весь Казахстан болел за тебя ..Здоровья и дальнейших успехов - на благо РК !!",mixed,,mixed
"Елена кутты болсың, Алға Қазахстаң🇰🇿🇰🇿🇰🇿! Заслуженная победа, скромная воспитанная красавица!",kaz,,mixed
"Елена Алға! Молодец , құтты болсың!!!🇰🇿🇰🇿🇰🇿",kaz,,mixed
Рыбакина Алға Қазақстан,kaz,,mixed
Алға Елена! Құтты болсың!,kaz,,mixed
Рыбакина наша  Алға Қазақстан Республикасы сделай россиянку под ноль!,kaz,,mixed
"Жасы 1000 келіп киіп алған шорты ұят емеспа, көргенсіздік...",kaz,,mixed
"Шынында ұят, жалаң аяқ, бут, киелі камзол үстіне киип, тукирип тұр баянка, шексіз мәдениетсиздик, корггенсиздик, Аида құрбысы, баянка ға сот жоқ, байына Абылай ханның шапанын кигізед, шортимен, 🤮🤮🤮",kaz,,mixed
"СНГ выпускной жасайтын шығар қазақстан сияқты шығындалып, дамыған елде біздікіндей өтпейді.",kaz,,mixed
"1998 жылы мектеп бітіргенімде выпускной болмайды дейтін, 28 жыл өтті әлі мектепте, ата-аналарда жасап келе жатыр. Айтылатын тек әңгіме болып қалған. Осы министр выпускнойға толық шектеу қойып, тоқтатса, үлкен істі атқарғаны.",kaz,,mixed
"Жастар көп, грант бәріне жетпейтін шығар. Бірақ әртүрлі қолдау бар ғо, ата-аналар да көмектесер. Неше түрлі бағдарлама бар, бір жолын табар.",kaz,,mixed
Қайырлы болсын Есмұхан ағамыздың жаны жәннатта болсын. Театр өнеріне көп еңбек сіңірген тұлға еді.,kaz,,mixed
"мм, көктемде талай жер бар ғо балық аулайтын",kaz,,mixed
Құбылмалы ауа райы екен ғо. Шторм ескертуі де бар. Сақ болайық.,kaz,,mixed
"Одного назовите Орманбек,""орман"" это лес... будет Орманбек Құрманбекович.😁",kaz,,mixed
"Тамада, әртістер, бишілер налог төлейма",kaz,,mixed
Молодец полицейский екен. Мұндай ерлік керек бізге.,kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Жаңа жүйе ғой, қателіктер болады. Енді дұрысталар.",kaz,,mixed
"технология мен экономиканы ынталандырады, жақсы бастама",kaz,,mixed
"негатив бар болса да, өңірлердің дамуына уақытында көңіл бөлген дұрыс",kaz,,mixed
"Жақсы, қимыл бар сияқты. Экспорт өседі ғо.",kaz,,mixed
"Мұндай схемалардан сақ болу керек. Банк қызметкерлері жақсы жұмыс істеп жатыр ғо, алаяқтықтан қорғайды.",kaz,,mixed
"информация полезная, штраф жағынан ескерілген дұрыс",kaz,,mixed
Елден қашып жүргендер кит кашолоттар көп қой кілең май шабақтар ұсталып жатқан 😬😬😬 ол қалай екен деймін да аааа,kaz,,mixed
"Жақсы жаңалық екен, банк жақсы дамып жатыр ғо.",kaz,,mixed
"жақсы бағыт, банк саласы өсуі елге ұтамыз",kaz,,mixed
"Жақсы көрсеткіштер, банк сенімді әрі дамып келеді",kaz,,mixed
"Нефть қымбаттауы жақсы, бірақ бәрі бірден оңай болмайды, инфраструктураны жақсарту керек",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Көрейік, бәрі анықталады.",kaz,,mixed
"Ой, жарайсыңдар! Көмектескен екен ғой.",kaz,,mixed
"круто, талантты болса қолдау керек",kaz,,mixed
"Қимыл бар, процес жүріп жатыр ғо. Мұндай шаралар керек-ақ.",kaz,,mixed
"Из-за того, что какой то «умник» машину не правильно припарковал, пожарные не могли проехать и во время спасти малышей(((  Иманды болсын, тыныш ұйықтасын кішкентай періштелер🤲🏼🤲🏼🤲🏼",mixed,,mixed
Токаев пен Мирзиёевтің кездесуі елге жақсы жаңалық әкеледі екен,kaz,,mixed
Почетный караулда қыздар не істеп жүр?,kaz,,mixed
"Отлично, молодцы девчата, спорт арқылы ел абыройы артып жатыр",kaz,,mixed
"Шетелмен жақсы байланыс ғо, технология, туризм де дамиды енді.",kaz,,mixed
"Көршімен тату болған жақсы ғо, жол ашылады. Пайдасы тиер сияқты, экономика, экология жақсарады.",kaz,,mixed
"шетелмен жақсы байланыс ғо, көршімен тату болу жеңіл бәріне",kaz,,mixed
"информация полезная, очередь и задержки могут быть, ескерілуде",ru,,mixed
"жақсы, инвестиция мен технология дамып, елге пайдасы тиеді",kaz,,mixed
"Шетелмен жақсы байланыс ғо, технология, ғылым дамиды.",kaz,,mixed
"О, мықты көрсеткіштер ғой. IT саласы жақсы дамып жатыр, Astana Hub үлкен роль атқарып тұр екен.",kaz,,mixed
"неге жеке өмірге араласуға болмайтынын түсінікті, бизнес басқа әңгіме",kaz,,mixed
"Интересный момент, что бизнес бақылауы бар, ал жеке өмірге араласу шектеулі болып тұр, бұл заң жобасы дұрыс бағытта қозғалып жатыр",kaz,,mixed
Доллар мен евро арзандауы – нарық реттеліп жатыр деген сөз,kaz,,mixed
Бұл жақсы жаңалық екен. ЕАБР-мен ынтымақтастық Қазақстанның экономикасын дамытуға үлес қосады ғо. Инвестиция мен инфрақұрылымдық жобаларға көмек қажет.,kaz,,mixed
Жармухан тұяқбайдың баласы емеспе,kaz,,mixed
Осы жыл басында тенгенің нығайғаны сезіліп тұр ғой. Ұлттық банк жоспарлы жұмыс істеп жатыр.,kaz,,mixed
"Көршімен тату болған жақсы ғо, жол ашылады",kaz,,mixed
"Жақсы нәтиже, спорт арқылы ел абыройы өседі",kaz,,mixed
"Поздравляем наших боксеров! Жарайсыңдар, нағыз мықтылар ғой! 🥊",kaz,,mixed
"Мықты ғо, ғылымға қолдау күшті екен. Цифр және ИИ жылы — дұрыс бағыт сияқты.",kaz,,mixed
"Круто, Нурбек жарайсың, елдің намысын абыроймен қорғап жүрсің",kaz,,mixed
"Класс, саламызға тағы бір алтын әкелді, жақсы болды",kaz,,mixed
"мм, жағдайды тез түзетсе жақсы болар еді",kaz,,mixed
"мм, қызық жағдай екен.",kaz,,mixed
"Отлично, молодец Асылкулов, спорт арқылы ел абыройы өседі",kaz,,mixed
"Жарайсың, Оразбек! Чемпион болу оңай емес, нағыз еңбекқорлықтың нәтижесі ғо. Қалған боксшыларымызға да сәттілік! 🥊",kaz,,mixed
"мм, бағалар көтеріліп жатыр ғой, байқасақ.",kaz,,mixed
"Налоговая и валютная дисциплина укрепляется, движение капитала контролденеді жақсы болғаны ғой",kaz,,mixed
Токаевтың құттықтауы қыздарға үлкен мотивация болады,kaz,,mixed
"Ақпарат қой. Димаштың ойлары дұрыс сияқты, музыка арқылы көп нәрсе жеткізуге болады ғой.",kaz,,mixed
"Музыка арқылы мәдени дипломатияны дамытып жатқан дұрыс, елге имидж беретін нәрсе",kaz,,mixed
"Саша Алға! Надо выигрывать и выиграешь этого веселого испанца🤡, без Ферерра он не стабилен",ru,,mixed
"Отлично, спортта Қазақстанның аты шығып жатыр, жақсы жаңалық",kaz,,mixed
"Жарайсың, Бублик! Қолдауға тұрарлық жетістік екен. 👏",kaz,,mixed
"топливо қымбаттауы экономикаға ауыр тиеді, мемлекет жағдайды бақылауда ұстап жатыр",kaz,,mixed
"Қарулы күштерді күшейту мәселесі бірінші орында тұру керек. Егеріде өз Әскерімізді күшейтпесек, басқа елдің әскеріне ШЕМ боламыз.",kaz,,mixed
"дұрыс шешім, техника жаңарып, қорғаныс күшейеді",kaz,,mixed
"Жарайсың, Дина! Чемпион болу оңай емес қой.💪",kaz,,mixed
"Дина молодец, жарайсың, елге қуаныш әкелдің",kaz,,mixed
"Молодец, спортта ел намысын қорғап жатыр, дұрыс бағытта жұмыс жүріп жатыр",kaz,,mixed
"Жарайсың, Надежда! Алтынды алып келді ғо. 🥇",kaz,,mixed
"круто, что женский бокс Қазақстанда дамып жатыр",kaz,,mixed
"Жағдай бақылауда, запас бар екені жақсы ғой",kaz,,mixed
"Жақсы, бақылап отыр ғой бәрін. Дефицит жоқ екен, қор да жеткілікті. Сабырмен қарау керек енді.",kaz,,mixed
"Мы ( преподаватели- организаторы НВТП г. Астана) уже писали неоднократно о нарушении приказа 347 и разрушении логики последовательности проведения процесса НВТП ( когда практические знания подтверждали теоретическую часть), но ответ один, проводить на базе школ ( без питания и экскурсии в в/ч), при этом во время проведения СОРов и СОЧей, не отображая в журналах күнделік). Внятного и понятного ответа до сих пор нет!",ru,,mixed
Сот үкімі дұрыс сияқты. Мұндай алаяқтыққа жол бермеу керек.,kaz,,mixed
"Жарайсың, Алматбек! 👍🏻 Чемпион болу оңай емес, жарады жігіттер!",kaz,,mixed
"Жұмыс басталғаны жақсы, амнистия елге жеңілдік әкеледі",kaz,,mixed
"Күтіп көрейік, бәрі анықталады ғо. Қорғаныс жүйесі жұмыс істеп тұр ғо, процесс жүріп жатыр.",kaz,,mixed
Контракт болу керек толық әскер дамыған елдердегідей,kaz,,mixed
"Болмайды ғой бәрін контрактқа ауыстыру, резерв керек.",kaz,,mixed
"Резерв керек, уақытында жасақ болып тұруы маңызды",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Қимыл бар, асықпаңдар.",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Қарап жатыр, өрт сөндірушілер қимылдауда.",kaz,,mixed
"Жарайсың Бублик, еліміздің намысын жақсы қорғап жатыр",kaz,,mixed
"мм, доллар сәл арзандапты ғо",kaz,,mixed
"Күтейік, сот әділ шешімін береді ғой.",kaz,,mixed
"барлығы дұрыс шара қолданылып жатыр, енді сот әділ шешім шығарса екен",kaz,,mixed
Опрос қайда тұр,kaz,,mixed
"мм, әркімнің өз ойы бар ғо, бірақ стаж бен жасты бірге қарау дұрыс сияқты",kaz,,mixed
пенсия мәселесі әркімнің жағдайына қарай шешілгені дұрыс болады,kaz,,mixed
Қазба байлықтары мол ғой. Жақсы көрсеткіштер екен.,kaz,,mixed
"Қазынамыз мол, дұрыс бағытпен дамыса жақсы болар еді",kaz,,mixed
"Не болды енді, жастайынан өз өмірлеріне балта шауып. Мына криминалды романтикалауды шектеу керек. Сол блатной романтикамен өскен балалар шығар.",kaz,,mixed
"Қарап жатыр, бос сөз емес сияқты. Қимыл бар екен ғо.",kaz,,mixed
"Түркіменстан мен Иран арасындағы жағдай әлі де шиеленісті, сабыр керек",kaz,,mixed
"мм, ""Кайрат"" жақсы ойнады ғо",kaz,,mixed
Аман болыңдар. Қайсы  компания автобусы.,kaz,,mixed
Төтенше жағдайлар қызметкерлерінің Еңбегі ерен ғой әр қашанда. Рақмет!!!,kaz,,mixed
"А когда жд дорогу спроектируете с Индера до Уральска? Чтобы с Уральска до Атырау напрямую составы шли,  а не через Ақтөбе.",ru,,mixed
"Жақсы бастама, транзит артса елге пайдасы мол болады",kaz,,mixed
Пожарный датчик шынымен қажет екен. Құтқарды ғой отбасын.,kaz,,mixed
"Жақсы, датчик уақытында жұмыс істеп, адам өмірін сақтап қалды",kaz,,mixed
Медаль дайындай беріңдер,kaz,,mixed
"Керемет, Иэн Қазақстанға келсе, жақсы болар еді",kaz,,mixed
"Жібек жарады! Үшінші титул, керемет қой! 💪",kaz,,mixed
Жарайсыңдар қыздар! Бронза да жақсы жетістік қой 🔥,kaz,,mixed
