text,language,label,text_norm
"Смартфон идеален, покупал в подарок любимой жена, она в восторге.",ru,,"смартфон идеален, покупал в подарок любимой жена, она в восторге."
"Очень быстро садиться батарейка, не советую.",ru,,"очень быстро садиться батарейка, не советую."
"После 11 айфона конечно супер, Каспи , спасибо!",ru,,"после 11 айфона конечно супер, каспи , спасибо!"
"Заказала 2 штуки, а прислали 5 штук. Спасибо магазину!",ru,,"заказала 2 штуки, а прислали 5 штук. спасибо магазину!"
Рахмет өте жақсы заттар. Бәрін жаксылап орап салыпты.,kz,,рахмет өте жақсы заттар. бәрін жаксылап орап салыпты.
"Спасибо продавцу за качественный товар. Ластик качественный. Всегда такой берём. Очень быстрая доставка. Продавец еще положил подарочек. Приятно, что заботится о своих клиентах.",ru,,"спасибо продавцу за качественный товар. ластик качественный. всегда такой берём. очень быстрая доставка. продавец еще положил подарочек. приятно, что заботится о своих клиентах."
"Качество отличное, спасибо большое, быстрая доставка, все вовремя.",ru,,"качество отличное, спасибо большое, быстрая доставка, все вовремя."
"Все товары пришли в идеальном состоянии, спасибо большое. И подарок положили, очень приятно.",ru,,"все товары пришли в идеальном состоянии, спасибо большое. и подарок положили, очень приятно."
"Бағасы тиімді, уақытылы жеткізіп берді.",kz,,"бағасы тиімді, уақытылы жеткізіп берді."
"Мне очень понравился, спасибо большое.",ru,,"мне очень понравился, спасибо большое."
"Очень хороший ластик. Быстрая доставка, рекомендую.",ru,,"очень хороший ластик. быстрая доставка, рекомендую."
"Стирает легко, мне понравился ластик.",ru,,"стирает легко, мне понравился ластик."
Уақытынан ерте жеткізіп берді. Сапасы күшті. Алуға кеңес беремін.,kz,,уақытынан ерте жеткізіп берді. сапасы күшті. алуға кеңес беремін.
"Отличные ластики, мягкие, стирают чисто без грязи. Продавец Turone ещё и подарочки положил, спасибо, очень приятно.",ru,,"отличные ластики, мягкие, стирают чисто без грязи. продавец turone ещё и подарочки положил, спасибо, очень приятно."
"Очень хороший ластик, и дешевле.",ru,,"очень хороший ластик, и дешевле."
"Отличный товар, доставили в тот же день, все так как я хотел, спасибо!",ru,,"отличный товар, доставили в тот же день, все так как я хотел, спасибо!"
"45тг алып тұрып, сапасы нашар десем. Сатушы Нурсекен ұрып кетеді шығар. Тема өте жақсы.",kz,,"45тг алып тұрып, сапасы нашар десем. сатушы нурсекен ұрып кетеді шығар. тема өте жақсы."
"Товар пришел вовремя, большое спасибо продавцу ИП «МЫНЖАНОВ АСКАРБЕК КАНАБЕКОВИЧ» и ответственному курьеру.",ru,,"товар пришел вовремя, большое спасибо продавцу ип мынжанов аскарбек канабекович и ответственному курьеру."
"Стерки хорошие, берём постоянно, не оставляют грязи в тетради.",ru,,"стерки хорошие, берём постоянно, не оставляют грязи в тетради."
"Ластик хороший, беру не в первый раз.",ru,,"ластик хороший, беру не в первый раз."
"Жақсы өшіргіш, мектепке ыңғайлы, арзан, жоғалтып алса да.",kz,,"жақсы өшіргіш, мектепке ыңғайлы, арзан, жоғалтып алса да."
Өз бағасына тиімді әрі сапасы жақсы.,kz,,өз бағасына тиімді әрі сапасы жақсы.
"Товаром довольна, магазин хороший, вешалка оказалась очень удобной и стойкой, благодарю!",ru,,"товаром довольна, магазин хороший, вешалка оказалась очень удобной и стойкой, благодарю!"
"Хорошие стерки, теперь заказываю только их.",ru,,"хорошие стерки, теперь заказываю только их."
"Кетіргіш өте жақсы екен, фирмасы керемет.",kz,,"кетіргіш өте жақсы екен, фирмасы керемет."
Хорошее качество. Беру не первый раз. Быстрая доставка.,ru,,хорошее качество. беру не первый раз. быстрая доставка.
"Отличный ластик, упаковка качественная, пришло все целое.",ru,,"отличный ластик, упаковка качественная, пришло все целое."
"Отличный ластик, который стирает карандаш мягко и без лишних усилий. Не оставляет грязных разводов на бумаге и практически не крошится при использовании.",ru,,"отличный ластик, который стирает карандаш мягко и без лишних усилий. не оставляет грязных разводов на бумаге и практически не крошится при использовании."
"Удобный ластик, хорошее качество. Стирает отлично. Спасибо Каспи Магазину и продавцу.",ru,,"удобный ластик, хорошее качество. стирает отлично. спасибо каспи магазину и продавцу."
"Хороший, мне понравилось, спасибо большое.",ru,,"хороший, мне понравилось, спасибо большое."
"Удобный большой ластик, хорошо стирает карандаш.",ru,,"удобный большой ластик, хорошо стирает карандаш."
"Отличные ластик, качество супер и цена приятная.",ru,,"отличные ластик, качество супер и цена приятная."
"Ластик очень удобен в использовании и хорошо справляется со своей задачей. Он аккуратно стирает карандаш, не оставляя грязных следов и не рвёт бумагу. Имеет мягкую текстуру, благодаря чему стирание происходит легко и без усилий. Компактный размер позволяет удобно.",ru,,"ластик очень удобен в использовании и хорошо справляется со своей задачей. он аккуратно стирает карандаш, не оставляя грязных следов и не рвёт бумагу. имеет мягкую текстуру, благодаря чему стирание происходит легко и без усилий. компактный размер позволяет удобно."
"Отличный ластик. Очень понравился, буду пользоваться.",ru,,"отличный ластик. очень понравился, буду пользоваться."
"Супер ластик, стер моего бывшего.",ru,,"супер ластик, стер моего бывшего."
Рақмет. Тағы біреуін қосып салып жіберіпті күшті.,kz,,рақмет. тағы біреуін қосып салып жіберіпті күшті.
"Рахмет, 2 өшіргіш салып жіберіпті сапасы күшті.",kz,,"рахмет, 2 өшіргіш салып жіберіпті сапасы күшті."
"Отличный ластик! Стирает чисто и аккуратно, не размазывает карандаш и не оставляет тёмных следов на бумаге.",ru,,"отличный ластик! стирает чисто и аккуратно, не размазывает карандаш и не оставляет тёмных следов на бумаге."
"Осы өшіргіштер қатты ұнайды, сатушыға рахмет, уақытынан ерте келді.",kz,,"осы өшіргіштер қатты ұнайды, сатушыға рахмет, уақытынан ерте келді."
Всё понравилось. Рекомендую к покупке.,ru,,всё понравилось. рекомендую к покупке.
