text,language,weight,source,label_id
"А ничего, что чужое имущество воровать нельзя, в каком бы сарае оно не стояло и в не зависимости от его стоимости??",ru,3.0,real,0
"осталось 2 часа, я только написал парочку смарт контрактов. остался фронт....",ru,3.0,real,0
"Блин, капец, класно. Бар жоғы 90 АҚ теңгеге чехол мен салфетка вообще тема, достар. Советую. Рақмет, өте-өте күшті.",kz,3.0,real,1
"Ну, закон так решил, бақылауда болады енді",mixed,3.0,real,2
"Алкоголь и табак большее зло,чем конопля. Никого не трогает.",ru,3.0,real,0
"Спасибо за инфо, МЧС бәрін бақылап отыр ғой",mixed,3.0,real,2
Маған товар ұнады. Тез сапалы жеткізді.,kz,3.0,real,1
"Реальный секторға қолдау дұрыс, экономика дамиды",mixed,3.0,real,2
"2ші қайтара алып отырмын өзіме ұнайды, тағыда аламын деген ойдамын.",kz,3.0,real,1
Насчёт реакции на действия игрока..,ru,3.0,real,0
"Так если на левом есть, а на правом нет, бөлінбеске қалай?😂",mixed,3.0,real,2
"Самая наиважнейшая ПОЛИТИКА - это каждодневный хлеб на дастархане простых граждан. Более глобальной и более насущной темой для любой власти нет ағайын. “Тоқ баламен аш бала ойнамайды, тоқ бала еш нәрсені ойламайды”.",mixed,3.0,real,2
"Күлмеңдер! Не показывайте сразу всю токсичность тем, кто только зашел, емаааа.. позорымды шыгармандар ееее",mixed,3.0,real,2
Пресс службада істеген ғой. Че по чем ненің қалай екенін біледі. Үйренісіп кетеді,mixed,3.0,real,2
"Багасы, сапасы керемет, рахмет TURONE,",kz,3.0,real,1
Снег жауғанда коммуналдық қызметтер уақытында жұмыс жасап жатыр екен ,kz,3.0,real,1
Иманды болсын. Алла алдынан жарылқасын,kz,3.0,real,1
"4 рет алып жатырмын, иісі әдемі.",kz,3.0,real,1
"Керемет дүкен екен, рахмет Alsep.",kz,3.0,real,1
Тапсырыс келді. Өз уақытымен. Көп көп рахмет.,kz,3.0,real,1
"Рахмет, өте жақсы, 1 шт сыйлыққа беріпті.",kz,3.0,real,1
"Осы дұрыс бағыт сияқты, балаларға көмек керек ғо.",kz,3.0,real,1
Жақсы магазин! Европейски сборка деді солай болып шықты.,mixed,3.0,real,2
"Бәрі ұнады 11 ден кейін әрине керемет екен, уақытында әкелді.",kz,3.0,real,1
"Все как и было, соцгарантии сақталады, уайымдайтын ештеңе жоқ",mixed,3.0,real,2
"Сделайте зп как в Лондане, сделайте соц пакет такой же как в Лондане. Халыққа түк бермей,  бірақ Лондандағыдай өмір сүргілері келеді.",mixed,3.0,real,2
"достар мне до поступления ещё далеко но пофиг все равно сұрайм ,короче сейчас же входят список грантов кто поступили кто нет ,это только для тех кто в обычных школах учатся ? а нишевцы откуда знают поступили или нет ",mixed,3.0,real,2
В моссаде исключительно циники с устойчивой психикой. Такой отбор. Если нужно сделать малое зло для предовращнние большего зла. Сделают не раздумывая. Повторение холокоста больше не будет такая у них идиология.,ru,3.0,real,0
"Хороший праздник для всей страны, нефть экономикаға тірек болып тұр",mixed,3.0,real,2
Хоть кого посади а народу все хуже и хуже,ru,3.0,real,0
Сапалы әрі арзан. Каспиге рахмет!.,kz,3.0,real,1
Такие кездесулер әрдайым елге плюс болады,mixed,3.0,real,2
вы даже не верите в побежу,ru,3.0,real,0
"Разберитесь как работает в целом система, и поймёте почему очереди такие, за что вы платите осмс и тд. Все станет ясно.",ru,3.0,real,0
Жоғарыда отырғандар құртты тенгені ,kz,3.0,real,1
Мобитайм магазинные алдым. Жақсы істеп тұр. Камера күшті және зарядка ұзаққа жетеді.,kz,3.0,real,1
И аиту и министерства қосыппа,mixed,3.0,real,2
"Ок, конфисковали, а штраф зачем? Оставьте ему эти 10000 долл. Біздегілер тек өз қазағымызға, және қарапайым халыққа ғана әлі келеді. Әйтпесе қайдан әкімдерде Дубайда бірнеше пәтер? Тек айлыққа жұмыс істегендер",mixed,3.0,real,2
