,text,language,label
68,10тенгеге көп алар едім в наличии болмай калды керемет оширгиш багасы оте арзан советую.,mixed,
86,Өте керемет за такую цену.,mixed,
110,Ластик керемет сапада. Каспи жеткізу қызметі жоғары дәрежеде. Aлматы TOO<unk> S дүкеніне көп рақмет. Өз істеріне үлкен жауапкершілікпен қарайды.,mixed,
130,Без симкарты деп жазып қоймайсыздарма.,mixed,
152,Digital market дегеннен алмаңыздар слишком нашар. Қанашама ақшам далаға кетті.,mixed,
174,"Дауысы өзімен өзі қатты шығып кете береді, азайтсаң автоматический қатты шығып кетеді.",mixed,
175,Жена восторге. Кора кутты болсын.,mixed,
184,Первый мой айфон. Андройдтан кейін енді үйреніп жатырмын.,mixed,
225,"Слов нет! Все супер! Магазин Lord Mobile супер продавец, бастан аяқ выручил, гарантийный талон бар. Доставщик мені 15 минут күтіп қалды. Бірақ вежливо болды. Айфон оригинал, не пожалеете, ребят!",mixed,
232,Онлайн Сим карта болғаны ұнамады.,mixed,
233,"Доставка тез жеткізілді заказ берген күні, және телефон оригинал, качество, барлық жағынан жақсы, өте қуаныштымын.",mixed,
242,"Айтқан уақытында жеткізіп берді, өте қуаныштымын және де клиентке өте қуаныштымын және де клиентке өте ұнайды екен, молодцы, продовец XAN_COMP рахмет.",mixed,
252,"Бәрі жақсы, ноо доставка жай келді и бір минус коробканда мятина болды, а так телефон жақсы.",mixed,
264,"Улкен Рахмет . Телефон оригинал , убедился",mixed,
289,Муж рад депше. Доставка сразу келді.,mixed,
294,Айфон в африкада Айфон келіншегіме ұнады.,mixed,
314,"Айфон 15 про макс өте керемет, качество супер.",mixed,
318,"Бәрі жақсы, Серийный номер официальный сайтта шығып тұр. Гарантия 1 жыл официально көрсетілген. Рахмет магазин Xcell, рахмет Kaspi. 3 сағат ішінде жеткізді.",mixed,
355,"Быстрая доставка, айфон нечто, давно хотела купить, купила, я так рада, спасибо продавцу, ӯлкен рахмет, саудаларыңыз жүре берсiн.",mixed,
409,"Все оригинал, ешқандай фальшивка жоқ.",mixed,
432,Өте жақсы тауар. Ең бастысы Қытайлық прошивка емес оригинал өндіріс. Өзім алып кеткенде жылдам әрі жылы қызмет көрсетті.,mixed,
452,Бәрі жақсы. Каспи как всегда супер. 1 күн ерте жеткізіп берді. Рахмет.,mixed,
462,"Artis Optima рахмет сіздерге, оригинал  код страны Канада, сапасы керемет.",mixed,
479,"Үлкен рахмет, істеріңіз алға баса берсін, бәрі ұнады, обслуживание.",mixed,
530,Супер ақпарат я лично доволен!.,mixed,
532,"Телефон бомба, рахмет респект за работу.",mixed,
535,"Проста супер, доставка тез келді, жаза берсін Mobile Vibe.",mixed,
560,Алғаныма 1 апта болды барлығы күшті жұмыс жасайды. Камерасының качествосы вообще огонь. Гарантия 1 жыл берілді магазин Техношоп рахмет! Айтылған күнде жеткізілді.,mixed,
563,Магазин Compasss өте жақсы қызмет көрсетті. Телефон 100% оригинал. Доставка көрсетілген уақытынан бұрын жетті. Үлкен рахмет.,mixed,
570,"Түнде заказ берген едік. ертесіне түстен кейін алдық. Тез жеткізді. Сапасы жақсы екен. 1 физ сим карта  есим бар. только есим емес. Қатты ұнады, қызбайды, заряд жақсы ұстайды. Камера супер.",mixed,
575,Жақсы магазин! Европейски сборка деді солай болып шықты.,mixed,
618,"По мне както телефон чуть чуть чуть гоняет, пин кодті 1рет қате жазып едік 5минутқа блок.",mixed,
624,Рахмет Sirius. Качество товара супер. Товар оригинал.,mixed,
647,"Ойлағанымнан да жақсы екен, камераға вообще топ.",mixed,
649,"Уақытынан бұрын келеді, оригинал ұнады маған 15 про макс рахмет.",mixed,
664,"Телефон жақсы, уақытында келді. Цвет бәрі күшті но камера качества ужасная, фокус ала алмайды алыстан жақсы түсіреді, жақындағыны жаман.",mixed,
667,"Телефонды да, продавецті де советую. Барлығы күшті продавец: mir_mobilki.",mixed,
705,"Өте керемет, уақытылы продавец қыз керемет. Ризамын, доставка тоже уақытынан ерте келді.",mixed,
709,"Өте керемет, жақсы телефон, қатпайды, бағасы стоит телефон.",mixed,
712,"Тамаша, дүкен көрсетіп түсіндіріп, респект жігіттер.",mixed,
719,"Бәрі ұнады, рақмет за вежливость.",mixed,
773,"Рахмет, уақытында алдық керемет ұнады. Курьер молодец.",mixed,
814,Бүгін алдым. Оригинал. В восторге. Заказывайте у Наримана. Спасибо вам большое.,mixed,
828,"Рахмет, телефон отличный, оригинал. Екен.",mixed,
881,Г. Уральск менеджер Ерланга коп коп Рахмет. Бәрі ұнады товар. Оригинал!.,mixed,
895,"Пока бәрі жақсы, қолдынып жатырмын.",mixed,
908,Лучший магазин осы магазинды ұсынам телефон оригинал 100 пайыз гарантия.,mixed,
961,Рахмет магазинге үлкен қуаныштымын. Есим подержвать жақсы істеп тұр даже. Нана симнан жақсы артық проблемасы осы магазинды ұсына.,mixed,
967,Айфон 15 про Макс алдым Рамазанға рахмет толық регистрациясын жасап берді.,mixed,
983,Сим карта салатын жері жоқ бірақ оригинал жақсы телефон өзіме қатты ұнады.,mixed,
989,"Телефон өте керемет, қызыма алдым. Супер просто. lMoBile магазинге рахмет, срогыннан ерте жіберді. Еңбектеріңіз жемісті болсын.",mixed,
1030,"Рахмет үлкен, оригинал телефон. Доставкасы тез. Шымкент қаласы.",mixed,
1051,"Телефон қатты ұнады, уақытылы жеткізді. Mobile Vibe магазин самый лучший.",mixed,
1052,"25 ақпан заказ бердім, 6 наурыз күні келу керек болатын, алайда 12 наурыз бірақ келді. Доставкадағы телефондары сөндірулі болды. Қызмет көрсету сапасы төмен! А так товар ұнады.",mixed,
1097,"Телефон прям тема, түсі тамаша, маған ұнады! Бәріне алуға кеңес беремін!",mixed,
1135,"Доставка уақытында келді, цена соответствует качеству.",mixed,
1178,"Уақытынан ерте келді өте күшті телефон заказ бергенде толықтай түсіндірді көп көп рақмет, телефон новый еще оригиналл, басында уайымдадым қандай болып келеді екен деп бірақ ойымдағыдан да күшті болып келді.",mixed,
1190,Телефон алдым мощно жасап тұр.,mixed,
1245,"Телефон китайский емес, оригинал екен, жақсы жұмыс жасайды, доставка уақытылы келді, бізге ұнады.",mixed,
1275,Айфон тамаша алыныздар европейский модель именно.,mixed,
1356,"Телефон алдық бәрі ұнады, жақсы сапалары оригинал телефон. Дулат вообще топ, қызмет көрсету өте жоғары дәрежеде барлықтарыңызға кеңес беремін!.",mixed,
1360,Рахмет. быстро по плану привезли. вежливый продавец. Қызым риза.,mixed,
1367,"Телефон күшті, өзіме алдым. Курьерге рахмет алдын ала звондап уақытын ыңғайлап алды. Обслуживание супер.",mixed,
1381,"Барлыктарынызга кенес беремын, всем советую, сервис обслуживания 10/10.",mixed,
1410,Живой әдемі көрінеді. Качестве топ.,mixed,
1422,"Супер, 2 телефона взял, рахмет. Тек Алга.",mixed,
1447,"Шымкент Рахмет, телефон оригинал, бәрі жақсы, қызмет сапасы жақсы.",mixed,
1449,Айфон өте күшті сапада келді. Японскии сборка. Оригинал. Компас магазиніне рахмет.,mixed,
1467,Айфон 15 промах алдық керемет. Рахмет.,mixed,
1598,"Магазин хороший, телефондары жақсы екен.",mixed,
1605,"Өте қатты ұнады, заряды ұзаққа жетеді, и цветі тоже әдемі көрінеді, Каспиға және магазинге рақмет, жаңа покупка жасауға мүмкіндік берген!",mixed,
1714,"Уақытынан бұрын жетті, зарядкасы вроде. Жақсы, барлығына көңілім толады.",mixed,
1723,"Өте керемет, көп рахмет! Обслуживание жақсы.",mixed,
1728,"Тез келді, бағасы өте арзан, еще и качествосы жақсы.",mixed,
1749,"Ресанта компания дүкені ең жақсы дүкен, Өшіргіш өте жақсы, қасына влажная салфетка сыйлыққа қосып берген. Рахмет. Саудаларыңыз көп болсын! Берекелі, бай болың дар!",mixed,
1778,Осы өшіргіштер жақсы өшіреді ұнайды. Тез келді постаматка. Рахмет.,mixed,
1921,"Ластик супер! Өте таза өшіреді, қағазды зақымдамайды.",mixed,
1929,"Өте ыңғайлы. Қолда жақсы ұсталады, кішкентай әрі практичный.",mixed,
1934,"Сапасы ұнады. Ізі қалмайды, жұмсақ. Очень удобно пользоваться.",mixed,
1960,"1 штук алсам да, күшті. Влажный салфетка салып жіберіпті сыйлыққа. Тема.",mixed,
2069,"Керемет. 1 шт заказ бергенмін, 2 шт қылып салып жіберіпті. Подаркаға влажный салфетка қосып берген. Рахмет.",mixed,
2110,Керемет екен! Рахмет. Жақсы өшіреді.Каспий доставка супер.,mixed,
2243,"Осы фирманың кедіргіші жақсы кедіреді, качественный!",mixed,
2289,"Күшті, жақсы жазады, тема екен за свою цену.",mixed,
2328,"Жақсы өшіреді екен, дәптерге із калдырмай, рахмет за такую цену.",mixed,
2375,Жақсы өшіреді. Маған ұнады. Рекомендую всем.,mixed,
2492,"Өте тез өшіреді. Қолданып жүрміз осы брендет. Магазин хорошо, зор!",mixed,
2496,"Быстрая, качественная доставка! Товар соответствует описанию! Класс, рахмет.",mixed,
2594,"Мощно стирает, уақыт жоқ в общем. Тоқтамай өшіріп жатырмын.",mixed,
2626,Стёр карандаш на 99. 9%.,mixed,
2671,"Рахмет тез әрі сапалы еще бонус үшін, Каспи ерекше.",mixed,
2697,Өшіргіш өте күшті.Бағасы почти даром.,mixed,
2700,Өшіргіш өте керемет! Прям супер! Уақытылы жеткізеді! Әрі бағасы да прям тегін деуге болады! Tyres Trade магпзиніне алғысым шексіз!.,mixed,
2747,"Качественный товар, жақсы кетереді.Доставка тез",mixed,
2757,"Заказымыз уақытынан бұрын келді, упаковка прям ұнады, кішкентай зат болса да өте ұқыпты орап салған.",mixed,
2820,Все лишь 10тг еще керемет өшіреді.,mixed,
2836,Суперский ракмет көп көп почти даром.,mixed,
2854,"Zakaz-Market24. Магазинінен сатып алдым сапасы мықты екен мынадай размере супер арзан, ағайын алыңдар өкінбейсіңдер бонус береді екен Рахмет.",mixed,
2858,Продовецке үлкен рахмет. Уақытынан ерте келді в целости и сохранности.,mixed,
2861,"100 тг стоит самый хитовый товоргой, офиста ауадай қажет, сапасы өте жақсы.",mixed,
2887,Отлтчные резинки очеүь хорошо стирает,mixed,
2933,"Почти тегін өшіргіш, рақмет үлкен жақсы зат.",mixed,
3063,Супер класнный хорошее качество очеүь удобныйһ,mixed,
3083,Өшіргіш күшті прям всегда. Мапед качествасы жақсы.,mixed,
3149,"Үнемі осы өшіргішті аламын, жақсы өшіреді, кеңес беремін алуға. Спасибо продавцу.",mixed,
3177,"Ластик очень понравился. Хорошо стирает карандаш, не рв т бумагу и не оставляет грязных следов. Формы удобные, қолға жақсы ұсталады. Ұсақталып қалмайды, ұзаққа жетеді. Бағасына сай сапасы жоғары. Сабаққа да, сурет салуға да өте қолайлы.",mixed,
3229,"10 тенгеге алдым качество бәрі күшті, бұндай цена жоқко еш жерде.",mixed,
3272,Сапалы. Бағасы вообще бомба. CHAMPION NUTRITION компаниясына рахмет.,mixed,
3274,Күшті өшіргіш. Уақытында келді. В наличии біреу ғана болғаны болмаса.,mixed,
3389,"Уақытылы келді, за такую цену классно конечно.",mixed,
3463,"Ластик хорошего качества, за копейки еще и в подарок положили один, Патриот вы супер, рахмет!",mixed,
3467,"Өте күшті болып келді, жақсы бағасына сай, качествосы вообще тема.",mixed,
3470,Жаксы бәрі керемет. Подарка салып жіберген еще.,mixed,
3507,"Мне очень понравился ластик, он еще положил подарок. Качество отличное! — Өшіргіш қатты ұнады, қасына сыйлығын да салыпты. Сапасы өте жақсы!",mixed,
3533,"Отличные ластики, прислали 2шт, бест оф зе бест за свою цену, рекомендасьон.",mixed,
3593,"Күшті өшіреді, тура фотодағыдай сыйлыққа влажный салфетка салып жіберіпті.",mixed,
3602,"Күшті. Кішкентай қызыма алдым, таныссын деп сынбайд, прочный.",mixed,
3647,"Всего лишь 10 теңгеге алдым, еще салфетка подарок беріп жіберіпті.",mixed,
3648,Өте күшті ластиксалфетка в подарок салыпты мына бағаға су тегін товарғойй!.,mixed,
3649,"Мяяя вооб<unk> ее, тез жеткіздіңіздер, е<unk>е арзан бағаға.",mixed,
3687,"Big Group Shop дүкеніне рахмет, өшіргіш качественный.",mixed,
3694,Жақсы ұнады! Бағасы вообще керемет!,mixed,
3702,Тауар жоғары сапада! Алуға кеңес беремін! Өз бағасына сай!.,mixed,
3706,Сыйлыққа салфетка рақмет. Өшіргіш күшті.,mixed,
3712,"Өте күшті істейді, дым қалдырмай рекомендую.",mixed,
3725,"Уу, на 3 ластика ещё влажную салфетку положили, рахмет.",mixed,
3747,Лучший ластик беру каждый год! Всем советую. Жақсы өшіргіш.,mixed,
3760,Бағасын көріп шок болдым. Өте керемет мынандай бағаға просто бомба.,mixed,
3763,Өте сапалы өшіргіш<unk>в подарок салфетка бар.,mixed,
3862,"Күшті болып келді, еще ап-арзан.",mixed,
3863,Хороший качество оте унады жаксы ошыреды екен всем советую.,mixed,
3953,"Классно, жақсы екен, тағы заказ беремін.",mixed,
3963,"Жақсы өшіргіш, как говорят проверено временем, жұмсақ жақсы өшіреді.",mixed,
4008,Ерте келді. Күшті екен бағасына стоит.,mixed,
4039,"Качество очень хорошая спасибо большое, ерте келді, жақсы істейді, заказ беріңіздер, арзан әрі жақсы.",mixed,
4226,"Күшті бағасына стоит ап арзан, көп қылып алсаңыздар жақсы, жақсы сапада.",mixed,
4251,Өте күшті өшіргіш. Тез өшіреді. Всегда осы түрінен ғана аламыз. Советую.,mixed,
4254,"Уақытынан тез келді, ұнады, бағасына стоит.",mixed,
4312,"Товар хороший, вовремя пришел, рахмет!",mixed,
4382,"Өте күшті сапада келді, еще брелок салып жіберіпті сыйлыққа.",mixed,
4397,1-еу ғана алып едім екіншісінде қосып жіберіптібрелокқа рахмет так приятно.,mixed,
4412,"Хороший ластик, а еще и подарочек, рахмет.",mixed,
4420,Өте күшті в подарок тағы 1еу салып жіберіпті рахмет.,mixed,
4438,"Уже 2 рет заказ бердім, күшті.",mixed,
4499,Каспи магазин сіздерге көп көп рахмет доставкаға. Магазин Орнек просто супер.,mixed,
4515,Рахмет көп бізге ұнады уйде баламен шыға алмай отыр едім очень удобно Алла разы болсын.,mixed,
4563,"Пришло все, что заказывала на день раньше! Отличный магазин, рахмет.",mixed,
4599,"Тура фотодағыдай, 2 шт в подарок өрнекке рахмет.",mixed,
4601,Өшіргіш топовый. Рахмет сатушыға. Упаковкасынын өшіргіш түгілі хрусталь сынбайды.,mixed,
4604,Супер. Конц товар тағы көбейтсеңіздер екен.,mixed,
4617,"Уақытында келді, сапасы өте жақсы, спасибо Каспи.",mixed,
4623,Күшті. Бәрі әдемі. Ornek-ке рахмет! И за конфетку!.,mixed,
4626,Ластик отлично стерает и не пачкает лист бумаги. Спасибо продавцу Өрнек.,mixed,
4655,Майкасы күшті келді но чуть чуть чутт шорти кіші келді но супер всем.,mixed,
4668,Пижама емес прастой ақ майка салып жіберген ужас жауапкершілік деген жоқ.,mixed,
4673,Просто супер. Ойланбастан екіншісіне заказ бердім.,mixed,
4695,Прям күшті размер тура келді еще доставка тез. Матасы енді прямм жұмсақ денеге жағымды!.,mixed,
4698,"Жеңіл, прям күшті жатарга, жатқанға бағасы вообщетоп находка.",mixed,
4701,"Прям күшті болып келді, качество вау!",mixed,
4723,"Жақсы, бірақ қысқа, кішкентай болып келді. или размер дұрыс.",mixed,
4748,"Күшті, ұнады, прям матасы качество.",mixed,
4766,Заказым уақытылы келді. Пижама просто супер. Өзіме қатты ұнады.,mixed,
4809,"Өте ұнады. Материал приятный, легкий. Качество топ, цена почти даром.",mixed,
4815,"Качество жақсы болып келді, продавец Amigo.",mixed,
4833,"Сапасы жақсы, бірақ толық қыздарға не советую.",mixed,
4856,"Осы дүкеннің скимс футболкаларынан 5-6 ау бар, барлығы жақсы, әр түрлі түстері бар, реально скимс, басқа сияқты емес. Әдемі жарасады.",mixed,
4860,"5-6 жасар балалардын футболкасы сиякты, просвечивает.",mixed,
4902,Прям күшті матасы. За такую цену прям топпп. Но скимс алғыларыңыз келсе өзіңіз киетін размерден де 1-2 размер кіші беріңіз.,mixed,
4932,"Футболка күшті, нормальной матасы да жақсы, бірақ өзім үлкенін алып қойыппын.",mixed,
4944,"Фктболка күшті, качество, размер бәрі күшті.",mixed,
4948,Качество күшті. Сразу үш түрлісін заказ бердім Aiym_collection магазинынан.,mixed,
4952,"Супер, классно качествасы жұмсақ и қаттыда қалын емес маған қатты ұнады советую всем.",mixed,
4955,"Ужасно. Дақ болып келді, сонша күтіп едімм.",mixed,
4976,Футболка качество жақсы. Бірақ размер кішкентай. 42 размер взрослыйларға бармайды. Детский размер екен.,mixed,
4979,"Футболка понравилась. Ожидала худшее качество за эту цену, но классная пришла. Спасибо за быструю доставку раньше срока. Тағыда заказ береміз. ModaZone рахмет!",mixed,
4992,Качества күшті но кішкене маломерит,mixed,
5006,"Тез келді, сапасы күшті, им МУСЛИМ.",mixed,
5033,"Өте тамаша келді, качество супер, доставка уақытылы, рахмет.",mixed,
