text,language,label,lingua_label
"Техника батпай жатса, қиын екен. Тезірек өшірсе ғой ",kaz,,mixed
"мм, ертеңгі ауа райы қиын болайын деп тұр екен, сақ болу керек",kaz,,mixed
"е технология дамып жатыр, ыңғайлы шешім сияқты",kaz,,mixed
"Жақсы, что у нас теперь есть крематорий, будет альтернатива традиционным похоронам в Алматы",kaz,,mixed
"Грозы, град, шквал... Көктем келсе де, ауа райы бізді сынап жатыр ",kaz,,mixed
жақсы бастама екен энергетику дамыту маңызды ,kaz,,mixed
"Жақсы бастама, Шымкентте демалу да керемет идея екен! ",kaz,,mixed
"Пока нефть дорожает, бензин у нас тоже подскочит, мұнайдың бағасы көтерілсе.",kaz,,mixed
"мм, жиналып дұрыс шешім қабылдайды деп сенемін",kaz,,mixed
"мм, қызық жағдай, АҚШ бюджетін жақсы жарататын сияқты",kaz,,mixed
тегін қойыңдар сонда ешқандай эвакуация болмайды ,kaz,,mixed
"пайдаланушылар саны 1 млн асыпты, жақсы көрсеткіш екен",kaz,,mixed
"Хорошо, что следим за безопасностью, радиация — дело серьёзное, балаларымыз үшін тыныш болу керек",kaz,,mixed
"Жақсы стратегия, студенттер көптеп келсе экономикамызға пайда текелей келеді",kaz,,mixed
Дурыс барлығын тексерсе Чси ды.,kaz,,mixed
"Жақсы, подготовимся тогда к такой погоде ",kaz,,mixed
"Сам кінәлі, заң бәріне бірдей.",kaz,,mixed
"Жол жақсы болса, аймаққа пайдасы зор болады. Самый раз, күтеміз!",kaz,,mixed
"мм, сақ болайық е бәріміз, ауа райы құбылып тұр ғой",kaz,,mixed
"А ведь ақырын ақырын дамытып барамыз,  ия?",kaz,,mixed
Цифровизация жақсы қадам сияқты. Халықаралық байланысымыз арта түседі.,kaz,,mixed
"VIP гоншиктерге керек дүние, 30 жыл рөлдемін, домкрат , запаска, тросс дәрет алатын су болса болды.",kaz,,mixed
"Жақсы жаңалық, осы бағытта даму керек. Умный город деген жақсы ғой, өмірімізді жеңілдетеді. Технологияға инвестиция салып, болашаққа дайындық жасау дұрыс бағыт.",kaz,,mixed
