text,language,label
С праздником всех! Пусть татулық всегда будет с нами.,mixed,
"Это хорошая новость для бизнеса, кез келген жеңілдік жақсы ғой.",mixed,
"Быстрее найдут ошибки, быстрее будут исправлять, жақсы ғой",mixed,
"Прямые авиарейсы и устранение двойного налогообложения хорошиғ шаги, которые помогут бизнесу, туризму и росту торговли между странами",mixed,
"Лена - құтты болсын ,с Победой ! Весь Казахстан болел за тебя ..Здоровья и дальнейших успехов - на благо РК !!",mixed,
"жақсы қадам, әділдік пен сапа артатыны анық",mixed,
"Қаралып жатыр, көңіл бөліп жатыр ғой",mixed,
"Из-за того, что какой то «умник» машину не правильно припарковал, пожарные не могли проехать и во время спасти малышей(((  Иманды болсын, тыныш ұйықтасын кішкентай періштелер🤲🏼🤲🏼🤲🏼",mixed,
"Круто, что Акмарал жақсы нәтиже көрсетті, елімізге қуаныш болсын",mixed,
"Ну вот, даже с ""Күміс алқа"" не помогло. 6 лет — серьёзно, но за такое, по ходу, по-другому никак.",mixed,
"Дұрыс, құтты болсын! 🇰🇿🤝🇧🇩 Развитие отношений это всегда новые хорошо для экономики. Мира и процветания обоим народам",mixed,
"И теперь этот принцип возвращается через Курултай и Халық кеңесі. Не как декорация, а как рабочий институт.",mixed,
Пусть каждый тиын из этих триллионов пойдет на пользу людям.Всех с Наурызом и с хорошими новостями! Ұлыс оң болсын,mixed,
"Главное единство и труд, тогда и страна будет процветать. Всех с праздником, родные! Ақ мол болсын",mixed,
"«Автомобиль — не роскошь, а средство передвижения» осыны ұқса бәрі ойдағыдай болады",mixed,
"Шуламайық, по закону разберутся",mixed,
"Көрісу күні — это про единство и традиции, хорошо, что поддержали.",mixed,
"Земля это наше все. Правильно, что президент лично вносил правки в формулировки. Жердің тұтастығы звучит по настоящему, по нашему",mixed,
"все эти игры с танкерами и ракетами просто нервишки портят, надеюсь скоро уляжется бәрі",mixed,
"Поддержка правильного учёта транспорта — это шаг к безопасности на дорогах, қозғап жатқанның өзі жақсы",mixed,
