text,language,label,label_source,seed_id,batch,qc_flags
Алла озы кесир кылмасын битипти уже тойыныпты ата донер лучше апа донер жаксыма дедим,mixed,positive,llm_composer,,,
"Ужасный кафе , вообще столикиарын жинамайды , тамактары онша емес дымба выбор жоқ не",,negative,manual,,,
Отличный ресторан Кухня уау Танцпол керемет,mixed,positive,llm_composer,,,
40 адамға деп бронировать етіп қойған едік Кафеде тек сол 40 адам болады деп келістік. Мероприятияға 1 күн қалғанда подвели. Ещё +20 человек приняли на тусау кесер.Что за беспредел????Если бы не позвонили не узнали бы что такой сюрприз нас ждёт) Безответственность!!! не доверяйте им!!!,mixed,negative,llm_composer,,,
Оте жай жумыс жайды екен менеджер жумыс уакытым отсе болды деген оймен отырама тусинбедим 45 минут куттым,mixed,negative,llm_composer,,,
Нұрсұлтан барбер жақсы алады екен шашты бүгін барып алдырдым советую ,mixed,positive,llm_composer,,,
"Айдос мастер красавчик
Біраз жылдан бері осы мастеріміз.
Салон Рахима",mixed,positive,llm_composer,,,
Алтын Дент атмосфера оте кушти. Мухит Алтынбекович колы алтын. Укол салганы былынбейды. Корыкпай бара берсеныз болады . Саттылык тылеймын.,mixed,positive,llm_composer,,,
адемы алады екен жыгыттер молодцы,mixed,positive,llm_composer,,,
компанияны сотка беру керек бреудын бос уакытн алып звандай бергесн 6кун болды звандап жур справочная телефон алмайды займ алган адамды оздеры тауып алу керек,mixed,negative,llm_composer,,,
Можно же нормально положить 2500 а ложете 3 лошки уйат каторый раз . Сал адал жасасандаршы,mixed,negative,llm_composer,,,
"Бәрі күшті, курьер мықты екен, магазин тоже тез келді.",,positive,manual,,,
"оптовый товар алам десендер,осы жерден артык ТЦ таппайсындар
ценалары да доступно и недорого",mixed,positive,llm_composer,,,
"Оте кышкентай донер 1,5 дык алганым туры нау не советую",mixed,negative,llm_composer,,,
Донер онша емес донер оте кішкентай сухой лаваш емес ұн сяқты чесно өзіме ұнамады,mixed,negative,llm_composer,,,
"Балнұр администратор самая лучшая 
И фитнес блитс самое лучшее место атмосфера самая лучше",mixed,positive,llm_composer,,,
Все понравилось рахмет официанту Жанерке Суши бомба,mixed,positive,llm_composer,,,
"Жандос деген бала молодец жумысы 
Тамак супер Поварларга молодец ",mixed,positive,llm_composer,,,
"Шашлыктары өте керемет! Кызылорда да #1 шашлычник. Кыздарыда керемет. Ақжарқын, күліп карсы алады! Обслуживание тамаша. Кеңес беремін.",mixed,positive,llm_composer,,,
"Сайдулла врачка коп рахмет 
Тысымды ауыртпай жулып берды ",mixed,positive,llm_composer,,,
Опслужвания зор тамактары дамды кунде келемыз келулерынзге кенес берем,mixed,positive,llm_composer,,,
Сет че там заказ бердим. Фотода бетінде перчиктер бар еще плов толып тұр. А менікі өкінішке орай болды. Ап аз еще перчик жок!,mixed,negative,llm_composer,,,
"Од души брат, тема кетті ",mixed,positive,llm_composer,,,
"Молодец жигиттер 
Ишинин аурасы болек енди, жумыстарына пысык 
Тек саттилик сендерге",mixed,positive,llm_composer,,,
"Там один оператор каждому написал,поэтому не успевал. Біздің басшылықтың отмазкаларына сөз жоқ!!!",,negative,manual,,,
Жанна рахмет улкен супер обслуживаниясы топ топ топ супер пупер,mixed,positive,llm_composer,,,
"Бүгін осы жерден ""Big bento"" деген торт алдым баламның туылған күніне, енді дәмі керемет и свежий екен",mixed,positive,llm_composer,,,
"17.01.26
Бугын биляши алдык 3шт биреуинде Ет мулдем жок неге? Ет жокпа или алдайсыздарма адамды мына аязда кайта баруга желания жок енди ни ногой! Еще шай сабойга подстаканник жок сиздерге не болган кризис па? Бурын кандай жаксы еди, бари молынан свежий ыстык еди казир билмим не болды сиздерге",mixed,negative,llm_composer,,,
"Девушка мененжер на против двери высокомерная грубая отвечало с тоном  
я смотрел отзывы перед тем ехать в банк который находиться на ауезова в дейсвительности подверждаю 
на негативные отзывы....",mixed,negative,llm_composer,,,
"Ужас жумыс жасамайды даже нормально жауап бермейди кунде барам кунде бир отирик айтады жауап кершилик жок нол даже телефон алмайды зб уже нормально жумыс жасайтын адам барма 
",mixed,negative,llm_composer,,,
"Всегда осы жерден аламыз, өте дәмді, свежийБізге өте қатты ұнайды
Доставка 1-2 сағат деді, бірақ 40 минутта ыстық күйінде жетіп алды",mixed,positive,llm_composer,,,
"В целом тамактары жаксы,балалармен детский зонанын жанында отырганга жаксы Айсулу мен Асылжан официанттарга рахмет,обслуживание оте тамаша",mixed,positive,llm_composer,,,
"Үлкен рахмет жігіттерге, момент шешіп берді шаруамдырекомендую от души",mixed,positive,llm_composer,,,
"Шашлык 390 тенгеден деп отирик реклама жасадындар. Официанттан сурадым еще акциямен ба деп. Сонында 700 ден есептеп берди. Шашлыктарын уят 300 тенгегеде не стоит кишкентай, шайнап жактар ауырып кетти.",mixed,negative,llm_composer,,,
Тазалық жоқ обслуживание өте нашар деңгейде,mixed,negative,llm_composer,,,
Сымбат кызга ракмет тамак дамы мошный офицантар тез кимылдайды екен жаксы,mixed,positive,llm_composer,,,
Кеше алып едим сет даулет дегенды тамактары шамалы плов турып калган шашлыктериде шамалы ужас калай реклама жасайды блогерлер,mixed,negative,llm_composer,,,
