text,label,weight,label_id
Жұмысшылар шаршаса демалдырыңдар! без лука десе чиснок салып бересіңдерма? болмаса ішінде не болатынын бәрін жазып қойыңдар мәзірлеріңе,negative,3.0,0
"Ерасыл мен Айымға көп көп рахмеет
Барлығы мен ойлағаннан да жақсы өтті обслуживание 100%",positive,3.0,1
"Оте нашар келмей ак койын
Одним словом горох",negative,3.0,0
"Ассалаумагалейкум,донер оте дамди болып шыгыпты рахмет нурбкк повар красавчиу",positive,3.0,1
"Поликлиникадағы Шынар Жиенғалиқызы акушерка өте білікті маманОт и до түсіндіреді барлығын,Пациентпен жақсы қарым қатынаста болады және жылы шыраймен шығарып салады.Білікті маман иесі",positive,3.0,1
"Атмосфера әдемі іші ұнады тамақтарыда вауу, Ақбота деген официант өте керемет обслужвание жасады, ұнады. Ақбота ға мыңда бір алғыс айтқым келеді Рахмет!!!
Всем советую летник Томирис",positive,3.0,1
Тамак сататын Шырын деген Кыз кушти сыпайы бирак 31 ге ауыстырып жиберген кайта 28 Ге келгенин калаймын продавец ер балдарда кушти жугирип журеди.Дананын ишинде жаксы барин табасын издегенин барин аласын ещё ищи Тап таза,positive,3.0,1
"Тәтті құмарларға ""опасное место""  дами тил уйирер таттилердин неше тури бар ммм",positive,3.0,1
"все супер, быстро и вкусно
я редко заказывала куринный шашлык так как бари катты не вкусный, а тут прям мамаа даже ертенги куни жесен сочный)",negative,3.0,0
"Нурзатқа ерекше рақмет 
Барлыгы тез, обслуживание оте жақсы, сыпайы әрі внимательный екен, буйырса міндетті түрде тағы келеміз. Тамақтары как обычно на высшем уровне, ракмет!",positive,3.0,1
"Динара мастер топ топ(макияж,прическа,маникюр,педикюр бәрін осында жасатам)",positive,3.0,1
Таңертең звандадым вызов деп кеш батты әлі келмеді ужас прям немқұрайдықпен қарайды бала денсаулығына тіркеліп жатқанда біз скораядан бұрын барамыз деп қайдағы жауапкершілік алмағанығо вызов өабылданды врачка айтылды деп еді жоқой әлі жоқ врачтары,negative,3.0,0
"Мирас молодец бала 
Жұмысыңның жемісін көр балам",positive,3.0,1
Тастс жемендер полная фигня уйге келип кусып луксып жатырмын тагф 4-5 бала болып барганбыз оларда кусып жатыр жемендер,negative,3.0,0
Бәрі жақсы. Дәмді тағамдары. Қызмет көрсетуі жақсы. Жако молодец,positive,3.0,1
Асылзада молодец. Өте жақсы қызмет көрсеттің. Тамақ дәмді. Дастархан әдемі болды. Рақмет,positive,3.0,1
"304 Айгерым мастер топ 3 рет барып жатырмын,жаным тема кыпппп жасайдыгооо",positive,3.0,1
Сегодня побывали с друзьями в данном ресторане. Решили провести ауызашар. Понравилось все интерьер и кухня. Отдельно хотелось бы отметить ифтар меню. Есть три сета на выбор. Я выбрал второй сет и не пожалел. Особенно понравился салат с баклажанами.,positive,3.0,1
Индира рахмет пицца күштіі дәмін айталмацймын додо пицца,positive,3.0,1
"Справочный қыздары дұрыс жауа бермеді, сол үшін ұнамады",negative,3.0,0
Ең кушти плов Каримада пловтары уау соз жок сервис жаксы тазалык жагы тоже вробоо,positive,3.0,1
"Хан-шапанға көптен көп рахмет! Дәмді ас, салқын сусын бәрі әдемі қатты ұнады. Қызметкерлері тамаша! Музыка просто топ! Жұмыстарыңызға сәттілік тілеймін!",positive,3.0,1
"Оте керемет сервис, бари дамди, конагым да риза мен де риза болып кайттыкРаиля мен Ержаска ерекше алгыс, классные отзывчивые ребята, коооп рахмет",positive,3.0,1
Пиццалары өте дәмдіБота қолың дерт көрмесін всегда осы жерден жейміз Мартқа келген сайын,positive,3.0,1
"Карашыктагы точкасына барып едык, персоналдары грубый(кассадагы кыз), барлык затты болип болип, суытып берды(сеть заказ берып едык 2 фриды 2 болип, 2 сушиды 2 болек пиццадарды болек болек, пиццасынын дами кушти болды, ал суши вообще писпеген, кассага алып барып, сушиларыныз писпепти десем кассадагы кыз Астагфиралллах деп тур, оля",negative,3.0,0
"Ұлмекен деген процедурная медсестра қолындағы врачтың назначениесіне қарамай, 2 жасар балаға цефозолиннің полный дозасын салып жіберді. Осындай жерде істеген соң, тем более алдыңа кіп кішкентай баланы әкеліп тұрған соң кішкене болсын жауапкершілікпен қарауға болар еді ғой. Цефозолин тем более оңай укол емес. Қадағалауларыңызды сұраймын.",negative,3.0,0
"Ассаляму алейкум. Балларыммен келип тамактанып кеттик, персонал оз жумысын жаксы аткарды. Стол жагын таза устайды екен. Мерей если ты читаешь спасибо за рамен сырный;)",positive,3.0,1
"бронь жасайын десен не могут ответить в ватсап,сколько дней прошло уже все ещё не отвечает,ия орын бар екенін айтпайды то орын жоқ екенін,былай шымкенттегі точкалары жақсы но именно в кызылорде что то не то",negative,3.0,0
Собой алдык соз жок не очень,negative,3.0,0
"Развал нашар істейді,еще бағасы 8000",negative,3.0,0
"Ужас, официанттар бир сагатка жогалып кетет, вроде бы гостей нету но ожидания коп, муздай кылып алып келди, одни овощи",negative,3.0,0
"донерде шаш бар,донерынын ишиндегы картоптары куйып кеткен.Кассирша ващее коз аралтып турады барыне с недовольным лицом.А еще админды шакыр дегенде жок маган айта бернз деп турады барлыгына грубить етып.Кушты конылкуймен бардык келгенде ашуланып келдык",negative,3.0,0
"Қыздар слишком грубый
И карта уақытында дайын болмайды,салынбай қалыпты деп тұрады 
Халықпен дұрыс қарым -қатынас жасасын!",negative,3.0,0
Тамақтары өте күшті  Бағдат официант самый лучший ,positive,3.0,1
Официанттар нашар қызмет атқарады. Кухня тоже нашар. Заказды 1 сағат созып алып келеді. Хотья бы клиенттер аз болсада,negative,3.0,0
Мастер Маржан прическа үшін рахмет Идеальная прическа ,positive,3.0,1
Қолы жеңіл стоматолог екен. Тісім ауырып барып емдетіп едім сразу койып кетті,positive,3.0,1
"Администратор этикеттен жұрдай ,өте грубый, клиентпен қалай сөйлесу керек екенін білмейді, баруға кеңес бермеймін.",negative,3.0,0
"Тамактыры керемет, оте дамды.
Персонал адемы, Сая красавица.",positive,3.0,1
"Абайдағы донер — просто топ!  Наны жұмсақ, іші толған ет, соусы вообще бөлек тема  Бір жегеннен кейін тағы қайтып келгің келеді. Қызметі тез, бәрі свежий. Бағасы да қолжетімді.",positive,3.0,1
"Тамақтары четкий, іші таза , Бақытбек, Ильяр , Алишер , деген балдар жұмыстарын адалынан жасайды екен. Ұнады",positive,3.0,1
"Ахмад деген сатушы красавчик, оте жаксы сатат, добрый, сын легенды. Далида плазага келсендер обьязательно бабл ти ышып корындер, какая же имба",positive,3.0,1
"Очень классный торговый центр .Все шие.ТоОкой болшой.Я там покупала одежда для нового года ,В арзан шопе , самое классное это топкат все ПО 500тг",positive,3.0,1
"Еттері өте жақсы, фаршты всегда осында аламыз",positive,3.0,1
Оте кушты жер барауга советую,positive,3.0,1
Рынок Шығыс обслуживание .купил что искалМечтал.внукам.жене.и себе.,positive,3.0,1
Шашлыки пушка гонка бомба сощни мощни,positive,3.0,1
"Админстрация что за бешенные цены у вас что тут вип ресторан чтоли. гуляш 200грамм там 7-8штук мясо 3300 вы офигели чтоли .на землю спуститесь 
Уят кайда 7-8 ет ушин 3300 тг кымбат..рационалда пюре гуляшпер 1500-1600 турады ...Баганы кымбаттатканды койыныздар..",negative,3.0,0
"Заведение очень грязный, честно сказать 
Тамактан мусор шыкты не советую
Как попало жасаиды тагамдарды",negative,3.0,0
"Үш қазақ деген пловтарын заказ бергенбіз, өте дәмді, порциясы мол, үш адамға смело жетет. Ожидание/Реальность болама деп қорқып едім, жооқ, күшті! Ұнады ",positive,3.0,1
Алтынкүл Рахмеет күшті обслужка и дәмді болды,positive,3.0,1
"Спасибо Демократу! Приятные девочки на ресепшене, все лоялные. Врачу Тимуру Бериковичу отдельное спаибо. Казактын балалары мадениетты! Рахмет улкен!!!!!",positive,3.0,1
"Барлығы күйіп кеткен еттер ужас 
Өкініп отырмыз ужаааааааааас
Енді келмейміз 10/1 береміз",negative,3.0,0
Оте жаксы мастер мадияр тура ойдагыдай алып берет шашты мойындадым тамаша,positive,3.0,1
