text,language,label,confidence,needs_review,filter_note,llm_language,label_source,_has_kz,_has_ru_cyr
"Смартфон идеален, покупал в подарок любимой жена, она в восторге.",ru,,1.0,False,,ru,manual,False,True
"Очень быстро садиться батарейка, не советую.",ru,,1.0,False,,ru,manual,False,True
"После 11 айфона конечно супер, Каспи , спасибо!",ru,,1.0,False,,ru,manual,False,True
"Заказала 2 штуки, а прислали 5 штук. Спасибо магазину!",ru,,1.0,False,,ru,manual,False,True
Рахмет өте жақсы заттар. Бәрін жаксылап орап салыпты.,kz,,1.0,False,,kz,manual,True,True
"Спасибо продавцу за качественный товар. Ластик качественный. Всегда такой берём. Очень быстрая доставка. Продавец еще положил подарочек. Приятно, что заботится о своих клиентах.",ru,,1.0,False,,ru,manual,False,True
"Качество отличное, спасибо большое, быстрая доставка, все вовремя.",ru,,1.0,False,,ru,manual,False,True
"Все товары пришли в идеальном состоянии, спасибо большое. И подарок положили, очень приятно.",ru,,1.0,False,,ru,manual,False,True
"Бағасы тиімді, уақытылы жеткізіп берді.",kz,,1.0,False,,kz,manual,True,True
"Мне очень понравился, спасибо большое.",ru,,1.0,False,,ru,manual,False,True
"Очень хороший ластик. Быстрая доставка, рекомендую.",ru,,1.0,False,,ru,manual,False,True
"Стирает легко, мне понравился ластик.",ru,,1.0,False,,kz,manual,False,True
Уақытынан ерте жеткізіп берді. Сапасы күшті. Алуға кеңес беремін.,kz,,1.0,False,,kz,manual,True,True
"Отличные ластики, мягкие, стирают чисто без грязи. Продавец Turone ещё и подарочки положил, спасибо, очень приятно.",ru,,1.0,False,,ru,manual,False,True
"Очень хороший ластик, и дешевле.",ru,,1.0,False,,ru,manual,False,True
"Отличный товар, доставили в тот же день, все так как я хотел, спасибо!",ru,,1.0,False,,ru,manual,False,True
"45тг алып тұрып, сапасы нашар десем. Сатушы Нурсекен ұрып кетеді шығар. Тема өте жақсы.",kz,,1.0,False,,kz,manual,True,True
