text,language,label,confidence,needs_review,filter_note,llm_language,label_source,_has_kz,_has_ru_cyr
С праздником всех! Пусть татулық всегда будет с нами.,mixed,,1.0,False,,mixed,manual,True,True
"Это хорошая новость для бизнеса, кез келген жеңілдік жақсы ғой.",mixed,,1.0,False,,mixed,manual,True,True
"Быстрее найдут ошибки, быстрее будут исправлять, жақсы ғой",mixed,,1.0,False,,mixed,manual,True,True
"Прямые авиарейсы и устранение двойного налогообложения хорошиғ шаги, которые помогут бизнесу, туризму и росту торговли между странами",ru,,1.0,False,,mixed,manual,True,True
"Лена - құтты болсын ,с Победой ! Весь Казахстан болел за тебя ..Здоровья и дальнейших успехов - на благо РК !!",mixed,,1.0,False,,mixed,manual,True,True
"жақсы қадам, әділдік пен сапа артатыны анық",kz,,1.0,False,,mixed,manual,True,True
"Қаралып жатыр, көңіл бөліп жатыр ғой",kz,,1.0,False,,mixed,manual,True,True
"Из-за того, что какой то «умник» машину не правильно припарковал, пожарные не могли проехать и во время спасти малышей(((  Иманды болсын, тыныш ұйықтасын кішкентай періштелер🤲🏼🤲🏼🤲🏼",mixed,,1.0,False,,mixed,manual,True,True
"Круто, что Акмарал жақсы нәтиже көрсетті, елімізге қуаныш болсын",mixed,,1.0,False,,mixed,manual,True,True
"Ну вот, даже с ""Күміс алқа"" не помогло. 6 лет — серьёзно, но за такое, по ходу, по-другому никак.",mixed,,1.0,False,,mixed,manual,True,True
"Дұрыс, құтты болсын! 🇰🇿🤝🇧🇩 Развитие отношений это всегда новые хорошо для экономики. Мира и процветания обоим народам",mixed,,1.0,False,,mixed,manual,True,True
"И теперь этот принцип возвращается через Курултай и Халық кеңесі. Не как декорация, а как рабочий институт.",mixed,,1.0,False,,mixed,manual,True,True
Пусть каждый тиын из этих триллионов пойдет на пользу людям.Всех с Наурызом и с хорошими новостями! Ұлыс оң болсын,mixed,,1.0,False,,mixed,manual,True,True
"Главное единство и труд, тогда и страна будет процветать. Всех с праздником, родные! Ақ мол болсын",mixed,,1.0,False,,mixed,manual,True,True
"«Автомобиль — не роскошь, а средство передвижения» осыны ұқса бәрі ойдағыдай болады",mixed,,1.0,False,,mixed,manual,True,True
"Шуламайық, по закону разберутся",mixed,,1.0,False,,mixed,manual,True,True
"Көрісу күні — это про единство и традиции, хорошо, что поддержали.",mixed,,1.0,False,,mixed,manual,True,True
"Земля это наше все. Правильно, что президент лично вносил правки в формулировки. Жердің тұтастығы звучит по настоящему, по нашему",mixed,,1.0,False,,mixed,manual,True,True
"все эти игры с танкерами и ракетами просто нервишки портят, надеюсь скоро уляжется бәрі",mixed,,1.0,False,,mixed,manual,True,True
"Поддержка правильного учёта транспорта — это шаг к безопасности на дорогах, қозғап жатқанның өзі жақсы",mixed,,1.0,False,,mixed,manual,True,True
"Срок продления — это правильно, экономикаға сәттілік болсын",mixed,,1.0,False,,mixed,manual,True,True
Для своих бәрібір қарап жатыр ғой,mixed,,1.0,False,,mixed,manual,True,True
Вакцина алмаған балалар көбейіп кетті ғой,mixed,,1.0,False,,mixed,manual,True,True
"Хорошие слова, на единстве всегда страна алға басады",mixed,,1.0,False,,mixed,manual,True,True
"На контроле держат, бәрі байланыста",mixed,,1.0,False,,mixed,manual,True,True
"Хорошая встреча, экономике де пайдасы тиеді",mixed,,1.0,False,,mixed,manual,True,True
"Неужели до такого дошло, соғыс болмасын",mixed,,1.0,False,,mixed,manual,True,True
"Все службы на месте, көмекті толық көрсетіп жатыр",mixed,,1.0,False,,mixed,manual,True,True
"Пусть мир и благополучие будут в каждом доме и в Астане, и в Эль-Кувейте. Ораза қабыл болсын всем",mixed,,1.0,False,,mixed,manual,True,True
Для наших всё равно лучше в трёх валютах ұстап отырған дұрыс сияқты,mixed,,1.0,False,,mixed,manual,True,True
"Организовано всё по правилам, процесс ашық өтеді екен",mixed,,1.0,False,,mixed,manual,True,True
"Правильно делают, без документов мясо тасуға болмайды",mixed,,1.0,False,,mixed,manual,True,True
"Работают нормально парни, порядок керек қой",mixed,,1.0,False,,mixed,manual,True,True
"Ораза қабыл болсын! ✨ Приятно видеть такой список лидеров в поздравлениях. Это лишний раз доказывает, что Казахстан уважают и на Востоке, и на Западе",mixed,,1.0,False,,mixed,manual,True,True
"Хорошо работают ребята, благодаря им люди жолда аман жүр",mixed,,1.0,False,,mixed,manual,True,True
"На самом деле, на производстве бұл маңызды шара, қауіпсіздік үшін керек нәрсе",mixed,,1.0,False,,mixed,manual,True,True
"Күтіп көрейік, анықталады ғо бәрі.",kz,,1.0,False,,mixed,manual,True,True
"С соседями на связи быть всегда плюс, регион үшін маңызды вообще",mixed,,1.0,False,,mixed,manual,True,True
Жамандаған емес адам туратын кала емес екен,kz,,1.0,False,,mixed,manual,True,True
"Всё по делу, если реально реализуют — мясо қолжетімді болады, экспортқа да жол ашылады",mixed,,1.0,False,,mixed,manual,True,True
"Хорошее дело, предпринимателям реально көмектеседі",mixed,,1.0,False,,mixed,manual,True,True
"Хорошо, что уже переходят на онлайн и новые правила разрабатывают, экологияға көңіл бөлініп жатыр",mixed,,1.0,False,,mixed,manual,True,True
"Так и надо было, пусть жауап береді",mixed,,1.0,False,,mixed,manual,True,True
"Кроме соболезнования, что принято - надо экстренно заняться обрубкой деревьев заслоняющихся на автодорогу и тратуары. Не уповать на месный Кудай сақтасын",mixed,,1.0,False,,mixed,manual,True,True
"Дұрыс, заң жұмыс істеу керек Казақстанда! Әбден басыңғаңдар. Қазахстан это не та страна, где каждый проходимец может вытирать ноги об нее",mixed,,1.0,False,,mixed,manual,True,True
"Всё по полкам раскладып жатыр, жүйе тұрақты болады енді",mixed,,1.0,False,,mixed,manual,True,True
"Тихо бы все решилось, соғыс болмасын",mixed,,1.0,False,,mixed,manual,True,True
"Врачи красавцы, на высшем уровне жұмыс істеп жатыр",mixed,,1.0,False,,mixed,manual,True,True
"По делу говорят, все по-честному идет, сами шешіп жатырмыз",mixed,,1.0,False,,mixed,manual,True,True
"Все как и было, соцгарантии сақталады, уайымдайтын ештеңе жоқ",mixed,,1.0,False,,mixed,manual,True,True
"Хорошее дело, связи с Пакистаном крепнут, науке мен білімге де пайдасы тиеді",mixed,,1.0,False,,mixed,manual,True,True
"Все четко объяснили, спекуляцияға ермеу керек",mixed,,1.0,False,,mixed,manual,True,True
"Сложно сейчас совсем без интернета, все к нему байланысты боп кетті",mixed,,1.0,False,,mixed,manual,True,True
"Полезная штука для бизнеса, с бухучетом көп қиналатындар көп қой",mixed,,1.0,False,,mixed,manual,True,True
"Хорошая поездка, укрепление связей с Пакистаном важно. Туризм, экономика да жүреді енді.",mixed,,1.0,False,,mixed,manual,True,True
"Так то видно, что референдум сделали максимально прозрачным и легитимным. Президент может инициировать, но и Курултай, и Правительство, и Халық Кеңесі тоже могут предлагать",mixed,,1.0,False,,mixed,manual,True,True
"Серьёзный и грамотный подход, взвешенное и своевременное изменение в нашу Конституцию даёт надежду на существенное и положительное изменение облика целого Казахстана. Алға Қазақстан✊",mixed,,1.0,False,,mixed,manual,True,True
"Круто, Рыбакина на высоте, Казахстанды тағы да танытып жатыр",mixed,,1.0,False,,mixed,manual,True,True
"Часть денег уже вернули, қалғаны да бақылауда",mixed,,1.0,False,,mixed,manual,True,True
"Жарайсындар ! Предполагал ,что наши забьют 2 гола , но 5 -2 , поэтому можно сказать , что Кайрат - уже не плох ! Держался на уровне лучших команд АПЛ .. Сәттіліктпен женіс тілейміз болашақта ..",mixed,,1.0,False,,mixed,manual,True,True
"В принципе, людей да қорғайтын нәрсе ғой",mixed,,1.0,False,,mixed,manual,True,True
"Нормально сделали, отреагировали быстро — теперь и форма өзіміздікі, и спорт экипировка сапалы болады",mixed,,1.0,False,,mixed,manual,True,True
"Правильное решение, так детям түсініктірек болады",mixed,,1.0,False,,mixed,manual,True,True
"Все по правилам сделали, людей да қарапты",mixed,,1.0,False,,mixed,manual,True,True
